Name,Suburb,Latitude,Longitude,Address,ContactNumber,Rating,Website
Fitzroy Chinese Medicine Clinic,Abbotsford,-37.799315,144.978031,"269A Brunswick St, Fitzroy VIC 3065, Australia",(03) 9417 5116,4.6,http://www.fitzroychinesemedicine.com.au/
Oak Park Acupuncture and Chinese Medicine Clinic,Abbotsford,-37.8063263,144.9875884,"136 Waterloo Rd, Collingwood VIC 3066, Australia",(03) 9306 8987,NULL,https://www.honee.com.au/v/acupuncture/chinese-medicine/oak-park-acupuncture-and-chinese-medicine-clinic
Canaan Chinese Medical Clinic,Abbotsford,-37.8085239,144.9806852,"171 Victoria Parade, Fitzroy VIC 3065, Australia",(03) 9415 8448,3,NULL
Eastential Acupuncture & Chinese Medicine Melbourne,Abbotsford,-37.8003925,144.9967053,"305 Johnston St, Abbotsford VIC 3067, Australia",0481 099 837,5,http://eastential.com.au/
Kensho Health & Dermatology | Chinese medicine,Abbotsford,-37.813946,144.973446,"12/15 Collins St, Melbourne VIC 3000, Australia",0426 210 888,NULL,http://www.kenshoclinic.com/
Healing Chinese Medicine Clinic,Abbotsford,-37.7805373,144.9965439,"1, 71 High St, Northcote VIC 3070, Australia",0414 648 717,5,http://www.healingchinesemedicine.com.au/
Metro Chinese Medicine Clinic - Melbourne,Abbotsford,-37.790152,144.926885,"51 Market St, Kensington VIC 3031, Australia",(03) 9376 1562,4.8,http://www.mcmclinic.com.au/
Acupuncture & Chinese Medicine Melbourne | Health in Flow,Abbotsford,-37.81843,144.9573117,"525 Collins St, Melbourne VIC 3000, Australia",(03) 9443 8997,5,http://www.healthinflow.com.au/
The Acupuncture Pregnancy Clinic,Abbotsford,-37.8094703,144.9838962,"8/228 Clarendon St, East Melbourne VIC 3002, Australia",(03) 9078 5759,5,http://www.acupunctureivf.com.au/
Professor Zheng's Clinics of Chinese Medicine Australia,Abbotsford,-37.8351487,144.9622518,"195 Park St, South Melbourne VIC 3205, Australia",(03) 9682 3715,5,https://professorzheng.wixsite.com/chinesemedicine
Abbotsford Medical & Acupuncture Centre,Abbotsford,-37.8098036,144.9944018,"295 Victoria St, Abbotsford VIC 3067, Australia",(03) 9429 8538,NULL,NULL
Dr Scott Ling's Chinese Medicine & Acupuncture,Abbotsford,-37.8306695,144.9607964,"69 York St, South Melbourne VIC 3205, Australia",(03) 9041 2722,5,http://www.drscottling.com.au/
Dr Cao's Chinese Medicine Clinic,Abbotsford,-37.7603946,144.9999666,"675A High St, Thornbury VIC 3071, Australia",(03) 9484 5514,5,http://drcaochinesemedicine.com.au/
Quintessence Chinese Medicine Clinic,Abbotsford,-37.798339,144.89952,"Shop 19A/62 Nicholson Street., Footscray VIC 3011, Australia",0448 873 388,NULL,http://www.naturaltherapypages.com.au/connect/quintessencechinesemedicineclinic/about_us/33253
Jenny Kwon Chinese medicine clinic Balwyn,Abbotsford,-37.810564,145.064865,"55 Whitehorse Rd, Balwyn VIC 3103, Australia",(03) 9039 2192,5,http://www.jennykwonchinesemedicine.com.au/
Chong Kheng Traditional Chinese Medical Clinic,Abbotsford,-37.742144,144.966738,"476 Sydney Rd., Coburg VIC 3058, Australia",(03) 9350 4196,4.4,http://www.chongschinesemedicalclinic.com.au/
Coburg Chinese Medicine - Acupuncture & Herbs Melbourne Northern Suburbs,Abbotsford,-37.7498895,144.9648292,"197 Sydney Rd, Coburg VIC 3058, Australia",(03) 9041 6569,4.8,http://www.coburgchinesemedicine.com.au/
Mont Albert Acupuncture & Chinese Medicine Clinic,Abbotsford,-37.83078,145.081093,"195 Prospect Hill Rd, Canterbury VIC 3126, Australia",0401 579 257,5,http://www.maacmc.com/
Harmony Chinese Medical Centre Pty Ltd,Abbotsford,-37.80896,145.029433,"1/3 Wellington St, Kew VIC 3101, Australia",(03) 9853 5577,4.7,http://www.chineseharmony.com.au/
Health Spring Traditional Chinese Medicine Clinic,Abbotsford,-37.775333,144.949051,"12A Grantham St, Brunswick West VIC 3055, Australia",(03) 9388 0717,5,http://www.healthspringtcm.com.au/
Nurturing Traditions,Abbotsford,-37.7671248,144.9618242,"308 Victoria St, Brunswick VIC 3056, Australia",(03) 9387 2687,1,https://www.honee.com.au/v/acupuncture/chinese-medicine/nurturing-traditions
Tong Han Chun Herbs Acupuncture Sport Injury Centre,Abbotsford,-37.806995,144.982656,"57 Smith St, Fitzroy VIC 3065, Australia",(03) 9419 2926,3.4,http://www.thcchineseclinic.com.au/
Sustain Health,Abbotsford,-37.8307053,144.9608368,"Ground Floor, 69 York Street, South Melbourne VIC 3205, Australia",1300 432 639,4.7,http://www.sustainhealth.com.au/
Kings Arcade Chinese Medicine Clinic - Linda Moroney and Wang Ziggy,Abbotsford,-37.855453,145.020352,"High St, Armadale VIC 3143, Australia",(03) 9509 3957,5,http://www.lindamoroney.com.au/
Complementary and Traditional Chinese Medicine Clinic,Abbotsford,-37.869826,145.06145,"6/8 Illowa St, Malvern East VIC 3145, Australia",0411 090 718,NULL,http://www.ctcm-clinic.com/
Elemental Chinese Medicine,Abbotsford,-37.8399345,144.9941577,"29 Chambers St, South Yarra VIC 3141, Australia",(03) 9077 0062,5,http://www.elementalchinesemedicine.com.au/
Lun Wei Traditional Chinese Medicine Clinic,Abbotsford,-37.742208,144.904995,"11a/82 Keilor Rd, Essendon VIC 3040, Australia",(03) 9379 6225,NULL,http://www.lunweichinesemedicine.com.au/
Virginia Scarff - Chinese Medicine Practitioner,Abbotsford,-37.782109,145.017951,"914 Lygon St, Carlton North VIC 3054, Australia",(03) 9387 4061,NULL,http://www.mhhg.com.au/
Evergreen CMC - Acupuncture Melbourne & Chinese Medicine Doctor,Abbotsford,-37.886251,145.074437,"1262 Dandenong Rd, Murrumbeena VIC 3163, Australia",(03) 9041 8879,4.6,https://evergreencmc.com.au/
Oak Park Acupuncture and Chinese Medicine Clinic,Abbotsford,-37.7179025,144.9218761,"136 Snell Grove, Oak Park VIC 3046, Australia",(03) 9306 8987,5,http://oakparkacupuncture.com.au
Elements of Life- Acupuncture & Chinese Medicine Clinic,Abbotsford,-37.8684917,145.126014,"383 High St Rd, Mount Waverley VIC 3149, Australia",(03) 9807 3171,5,http://www.elementsoflifeclinic.com.au/
Fertile Ground Health Group,Abbotsford,-37.8096592,144.9785829,"Albert Street Medical Centre,Suite 3 Level 6, 372-376 Albert Street, East Melbourne VIC 3002, Australia",(03) 9419 9988,4.9,http://www.fertileground.com.au/
Quiescence Chinese Medicine,Abbotsford,-37.791312,144.979542,"525 Brunswick St, Fitzroy North VIC 3068, Australia",(03) 9486 4756,4.8,http://chinesemedicinemelbourne.com.au/
Balwyn Chinese Medicine,Abbotsford,-37.813007,145.0842218,"3/417 Whitehorse Rd, Balwyn VIC 3103, Australia",(03) 9836 8605,5,https://balwyn-chinese-medicine.business.site/
Healthway Acupuncture & Chinese Medicine Clinic,Abbotsford,-37.7727516,145.1123263,"7A Macedon Rd, Templestowe Lower VIC 3107, Australia",(03) 9852 0851,4.8,http://www.healthwayclinic.com.au/
Divine Health Acupuncture & Chinese Medicine Clinic,Abbotsford,-37.810246,145.124981,"829 Station St, Box Hill North VIC 3129, Australia",(03) 9890 6643,NULL,NULL
Dr. Ehud Udi Tal (Registered Traditional Chinese Medicine Practitioner),Abbotsford,-37.902423,145.033657,"3 Leopold St, Caulfield South VIC 3162, Australia",0411 849 587,5,http://www.melbtcm.com.au/
Kura Chinese Medicine,Abbotsford,-37.8373925,144.9966896,"1-009/670 Chapel Street, South Yarra VIC 3141, Australia",(03) 9828 7500,NULL,http://www.kurachinesemedicine.com.au/
Ru Xin Chinese Medicine,Abbotsford,-37.806857,144.955475,"59 Peel St, West Melbourne VIC 3003, Australia",(03) 9939 4658,5,http://www.ruxinchinesemedicine.com.au/
Clinic Care,Abbotsford,-37.804336,144.983135,"165 Smith St, Fitzroy VIC 3065, Australia",(03) 9482 3344,NULL,http://www.yourhealth.net.au/
Bing's Natural Health,Abbotsford,-37.832303,144.95891,"1/265-267 Coventry St, South Melbourne VIC 3205, Australia",(03) 9699 5333,5,https://bingsnaturalhealth.com.au/
MULTICURE CHINESE MEDICINE CLINIC,Abbotsford,-37.7646979,145.1191903,"301 High St, Templestowe Lower VIC 3107, Australia",0422 344 239,NULL,NULL
SAAM Charm Chinese Medicine Clinic,Abbotsford,-37.8200049,145.1251065,"24A Rutland Rd, Box Hill VIC 3128, Australia",(03) 9899 8801,NULL,NULL
Maru Chinese Medicine,Abbotsford,-37.8232355,145.0974564,"104/160 Union Rd, Surrey Hills VIC 3127, Australia",(03) 9878 2133,5,http://www.robinmarchment.com.au/
The Fertility Pod,Abbotsford,-37.799827,144.9677662,"23a/255 Drummond St, Carlton VIC 3053, Australia",(03) 9348 2867,5,http://thefertilitypod.com.au/
Lu's Acupuncture and Herbal Clinic (Doncaster Clinic),Abbotsford,-37.778877,145.127704,"31 Winston Dr, Doncaster VIC 3108, Australia",(03) 9600 2903,4.7,NULL
South Melbourne Chinese Medical Centre,Abbotsford,-37.8363947,144.9624527,"383 Clarendon St, South Melbourne VIC 3205, Australia",(03) 9690 3285,NULL,http://www.jamesmiddleton.net/
Iyashi Clinic,Abbotsford,-37.759222,144.992764,"359 St Georges Rd, Thornbury VIC 3071, Australia",(03) 9480 0180,5,http://www.iyashiclinic.com.au/
Nanjing Chinese Medicine Centre,Abbotsford,-37.835395,145.055596,"655 Burke Rd, Camberwell VIC 3124, Australia",(03) 9077 8738,5,http://nanjingtraditionalchinesemedecinecentre.myob.net/news
BEST Acupuncture & Chinese Medicine Melbourne,Abbotsford,-37.83897,145.172004,"373 Springvale Rd, Forest Hill VIC 3131, Australia",(03) 8839 0748,4.9,http://www.bestacupuncture.com.au/
Shen Healing,Abbotsford,-37.797076,144.969333,"160 Elgin St, Carlton VIC 3053, Australia",(03) 9347 8713,5,http://shenhealing.com/
RMIT Health Sciences Clinic,Abbotsford,-37.6822647,145.0726827,"30 Janefield Dr, Bundoora VIC 3083, Australia",(03) 9925 7666,4.7,http://www.rmit.edu.au/about/our-locations-and-facilities/services/health-clinics/health-sciences-clinic
Bayside Acupuncture & Natural Medicine,Abbotsford,-37.9327313,145.0029565,"Hampton, 491 Hampton St, Melbourne VIC 3188, Australia",(03) 9521 8660,5,http://baysidenaturalmedicine.com.au/
Maru Clinic of Chinese Medicine,Abbotsford,-37.828901,145.174456,"277 Springvale Rd, Forest Hill VIC 3131, Australia",(03) 9878 2133,NULL,http://www.robinmarchment.com.au
Golden Health and Healing - Acupuncture and Herbalist,Abbotsford,-37.805628,144.951582,"293 Victoria St, West Melbourne VIC 3003, Australia",(03) 9329 2088,5,http://www.goldenhealthacupuncture.com.au/
East Meets West,Abbotsford,-37.858209,145.039533,"1396 High St, Malvern VIC 3144, Australia",(03) 9500 8558,5,NULL
CityHealth Chiropractor Melbourne CBD,Abbotsford,-37.8089473,144.9632325,"4/407--409 Swanston St, Melbourne VIC 3000, Australia",(03) 9662 2395,4.9,http://www.cityhealthmelbourne.com.au/
Acupuncture and Chinese Herbal Medicine,Abbotsford,-37.757923,144.993627,"Ballantyne Street, Thornbury VIC 3071, Australia",0405 467 418,NULL,NULL
East West Chinese Medicine,Abbotsford,-37.889419,145.054044,"40 Truganini Rd, Carnegie VIC 3163, Australia",(03) 9571 6454,NULL,NULL
Centre Rd Chinese Medical Centre,Abbotsford,-37.917744,145.030406,"250 Centre Rd, Bentleigh VIC 3204, Australia",(03) 9557 5802,NULL,https://www.centreroadchinesemedicalcentre.com/
Kings Arcade Chinese Medicine Clinic - Linda Moroney,Alphington,-37.855721,145.020145,"Level 1, 976 High Street, Armadale VIC 3143, Australia",(03) 9005 5618,NULL,http://www.lindamoroney.com.au/
Acupuncture Chinese Medicine,Alphington,-37.795183,145.064186,"2/1118 Burke Rd, Balwyn North VIC 3104, Australia",(03) 9859 8782,NULL,NULL
Vivian Tam Acupuncture and Chinese Medicine,Alphington,-37.7930349,145.0638306,"215 Kilby Rd, Kew East VIC 3102, Australia",1300 951 275,NULL,http://viviantam.com.au/
Dr.Richard Zeng ,Alphington,-37.742578,144.975982,"21 Bell St, Coburg VIC 3058, Australia",(03) 9378 9479,4.5,http://www.oztcm.com.au/
Freedom Chinese Medicine,Alphington,-37.7572061,145.0450998,"261 Waterdale Rd, Ivanhoe VIC 3079, Australia",(03) 9486 5966,5,https://freedomchinesemedicine.com/
Almond Wellness Centre Acupuncture Chinese Medicine Chiropractic Clinic Ringwood,Alphington,-37.819486,145.227605,"31 Wantirna Rd, Ringwood VIC 3134, Australia",(03) 8802 1519,4.7,http://www.oztcm.com.au/
Cosmetic Acupuncture Melbourne,Alphington,-37.798974,145.051843,"652A High St, Kew East VIC 3102, Australia",1300 951 275,5,http://www.cosmeticacupuncturemelbourne.com.au/
Acuhealth Chinese Medicine Clinic,Alphington,-37.745283,144.80649,"293 Main Rd E, St Albans VIC 3021, Australia",(03) 8307 2033,5,NULL
Always Healthy and Happy Integrative Medicine,Alphington,-37.8022254,145.0676631,"3 Paisley St, Balwyn VIC 3103, Australia",0422 321 052,4.9,http://www.hnh.id.au/
St Georges Natural Health Therapies,Alphington,-37.764779,144.991647,"241 St Georges Rd, Northcote VIC 3070, Australia",(03) 9410 9826,NULL,NULL
The House of Life,Armadale,-37.8567463,145.0190431,"70 Armadale St, Armadale VIC 3143, Australia",(03) 9509 8848,5,http://www.houseoflife.com.au/
Utopia Health Care,Armadale,-37.8563024,145.0285965,"1227 High St, Armadale VIC 3143, Australia",(03) 8525 0162,NULL,http://www.utopiahealthcare.com.au/
YongHe Chinese Medicine,Armadale,-37.8758247,145.0497837,"167A Waverley Rd, Malvern East VIC 3145, Australia",(03) 9972 7243,5,https://www.yonghechinesemedicine.com/
In-Focus Healing and Wellness Clinic,Armadale,-37.8656249,144.992761,"269 Inkerman St, St Kilda VIC 3182, Australia",(03) 9525 3569,NULL,NULL
New Life Therapies,Armadale,-37.7916417,144.9836195,"1/462 Smith St, Collingwood VIC 3066, Australia",0438 948 155,NULL,https://www.honee.com.au/v/acupuncture/chinese-medicine/new-life-therapies
Guang Hua Chinese Medicine,Armadale,-37.897609,145.064294,"81 Moonya Rd, Carnegie VIC 3163, Australia",(03) 9568 3179,NULL,NULL
Traum Medical Laser Acupuncture Clinic,Armadale,-37.8530486,145.0418388,"1429 Malvern Rd, Malvern VIC 3144, Australia",(03) 9824 6388,NULL,https://glowhealth.com.au/allied-health/traum-medical-laser-acupuncture-clinic
Gardenvale Traditional Chinese Medicine,Armadale,-37.8974303,145.0035157,"134A Martin St, Brighton VIC 3187, Australia",(03) 9530 6566,4.9,http://www.gardenvaletcm.com.au/
A.A. Australia Chinese Medical,Armadale,-37.898721,145.012885,"508 Kooyong Rd, Caulfield South VIC 3162, Australia",(03) 9596 3398,NULL,NULL
New Leaf Chinese Medicine,Armadale,-37.886558,145.0200359,"727 Glen Huntly Rd, Caulfield South VIC 3162, Australia",0403 014 859,5,http://www.newleafcm.com.au/
Bodhi Tree Chinese Medicine Clinic,Armadale,-37.9491318,145.0043079,"24 Station St, Sandringham VIC 3191, Australia",(03) 9521 9191,3,NULL
Zen Oriental Holistic Health Highett,Armadale,-37.9489964,145.0417017,"69-79 Graham Rd, Highett VIC 3190, Australia",(03) 9553 3509,2.3,https://www.honee.com.au/v/massage/relaxation-massage/zen-oriental-holistic-health/zen-oriental-holistic-health-highett
Enrich Clinic,Armadale,-37.8551632,145.0168509,"872 High St, Armadale VIC 3143, Australia",(03) 9500 9500,3.8,http://www.enrichclinic.com.au/
Enerchi Medical Clinic,Armadale,-37.933732,145.038202,"370 South Rd, Moorabbin VIC 3189, Australia",(03) 9532 3500,5,http://www.enerchimedicalclinic.com/
Dr. Hong Xu,Ascot Vale,-37.76608,144.918306,"Se 3 30-32 Holmes Rd, Moonee Ponds VIC 3039, Australia",(03) 9326 1868,5,http://www.hong-en.com.au/
Qi Medicine acupuncture Melbourne,Ascot Vale,-37.768721,144.92475,"356/362 Ascot Vale Rd, Moonee Ponds VIC 3039, Australia",(03) 8394 7665,5,http://www.qimedicine.com.au/
Remedy Modern Chinese Medicine,Ascot Vale,-37.7871692,144.9293988,"40 Pin Oak Cres, Flemington VIC 3031, Australia",0416 143 271,5,http://rcm.clinic/
Pivotal Chinese Medicine Clinic,Ascot Vale,-37.821747,144.8810085,"45 Bena St, Yarraville VIC 3013, Australia",(03) 9994 6387,5,http://www.pivotalchinesemedicine.com.au/
Ford Wellness Group,Ascot Vale,-37.755875,144.909595,"196 Buckley St, Essendon VIC 3040, Australia",0418 547 451,5,http://www.fordwellnessgroup.com.au/
