Name,Suburb,Latitude,Longitude,Address,ContactNumber,Rating,Website
Chinese Community Social Services Centre Inc.,Abbotsford,-37.8430175,145.1087728,"14 Livingstone Cl, Burwood VIC 3125, Australia",(03) 9888 8671,NULL,http://ccssci.org.au/about-us
Melbourne Chinese Post,Abbotsford,-37.8047459,144.9879171,"15/23 Gipps St, Collingwood VIC 3066, Australia",(03) 9415 8188,5,http://www.imcp.com.au/
Melbourne Dai Loong Association Inc.,Abbotsford,-37.8058349,144.9923651,"c/- 90 Hoddle St, Abbotsford VIC 3067, Australia",0418 589 778,1,http://melbournedailoong.com.au/
Chinese Community Social Services Centre Inc.,Abbotsford,-37.818426,145.121959,"Suite 9A & 19, Professional Suites, 17 Market St, Box Hill VIC 3128, Australia",(03) 9898 1965,1,http://www.ccssci.org.au/
Catholic Chinese Community Melbourne,Abbotsford,-37.8298293,145.112207,"299 Elgar Rd, Surrey Hills VIC 3127, Australia",(03) 9890 7798,NULL,http://www.cccmelbourne.org.au/
Chinese Community Social Services Centre,Abbotsford,-37.78709,145.131087,"687 Doncaster Rd, Doncaster VIC 3108, Australia",(03) 8848 0288,NULL,http://www.ccssci.com.au/
The Federation of Chinese Associations Social Welfare Centre,Abbotsford,-37.8133337,144.9728764,"Suite 6, Level 4, 20 Collins Street, Melbourne VIC 3000, Australia",(03) 9650 6468,NULL,http://www.fcavic.org.au/
Chinese Community Social Services Centre Inc.,Abbotsford,-37.7713796,145.1959895,"177-179 Tindals Rd, Donvale VIC 3111, Australia",(03) 9844 6000,1,http://www.ccssci.com.au/
Multicultural Centre for Women's Health,Abbotsford,-37.804359,144.986017,"134 Cambridge St, Collingwood VIC 3066, Australia",(03) 9418 0999,NULL,http://www.mcwh.com.au/
Richmond Doorways: Community Support Services,Abbotsford,-37.812133,144.995439,"22 Lennox St, Richmond VIC 3121, Australia",(03) 9429 1576,4.5,http://www.salvationarmy.org.au/richmond
The Chinese Business Guide,Abbotsford,-37.807069,145.028407,"405/1 Princess St, Kew VIC 3101, Australia",(03) 9852 8388,NULL,http://www.chinesebusinessguide.com.au/
Chinese Museum,Abbotsford,-37.810802,144.969102,"22 Cohen Pl, Melbourne VIC 3000, Australia",(03) 9662 2888,4.1,http://www.chinesemuseum.com.au/
Chinese Chamber of Commerce of Victoria,Abbotsford,-37.8146842,144.9601946,"9, 167 Queen St, Melbourne VIC 3000, Australia",0424 663 363,NULL,http://chinesechambervic.com.au/
The Chinese Association of Victoria Inc,Abbotsford,-37.8453505,145.224334,"8 Ashley St, Wantirna VIC 3152, Australia",(03) 9800 3388,4.5,http://www.cavinc.com.au/contactus/contactus.htm
Darebin Ethnic Communities Council,Alphington,-37.739177,145.005327,"1/59A Roseberry Ave, Preston VIC 3072, Australia",(03) 9478 3737,NULL,http://decc.org.au/
Chinese Youth Society of Melbourne,Alphington,-37.7997745,145.1430439,"Factory 4/2-4 Joseph St, Blackburn North VIC 3130, Australia",(03) 9897 3688,3.8,http://cysm.org/
Australian Chinese Medical Association of Victoria,Alphington,-37.828956,145.121016,"862A Canterbury Rd, Box Hill South VIC 3128, Australia",(03) 9899 6380,NULL,http://www.acmav.org/
