Geometry,Number of Records,Population,REGION,Suburb
MULTIPOLYGON,1,71,Metropolitan Region,Abbotsford (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Aberfeldie
MULTIPOLYGON,1,0,Metropolitan Region,Ada
MULTIPOLYGON,1,10,Metropolitan Region,Airport West
MULTIPOLYGON,1,6,Metropolitan Region,Albanvale
MULTIPOLYGON,1,0,Metropolitan Region,Albert Park (Vic.)
MULTIPOLYGON,1,13,Metropolitan Region,Albion (Vic.)
MULTIPOLYGON,1,38,Metropolitan Region,Alphington
MULTIPOLYGON,1,12,Metropolitan Region,Altona (Vic.)
MULTIPOLYGON,1,13,Metropolitan Region,Altona Meadows
MULTIPOLYGON,1,8,Metropolitan Region,Altona North
MULTIPOLYGON,1,0,Metropolitan Region,Ardeer
MULTIPOLYGON,1,35,Metropolitan Region,Armadale (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Arthurs Creek
MULTIPOLYGON,1,0,Metropolitan Region,Arthurs Seat
MULTIPOLYGON,1,40,Metropolitan Region,Ascot Vale
MULTIPOLYGON,1,62,Metropolitan Region,Ashburton
MULTIPOLYGON,1,88,Metropolitan Region,Ashwood
MULTIPOLYGON,1,5,Metropolitan Region,Aspendale
MULTIPOLYGON,1,13,Metropolitan Region,Aspendale Gardens
MULTIPOLYGON,1,0,Metropolitan Region,Athlone
MULTIPOLYGON,1,0,Metropolitan Region,Attwood
MULTIPOLYGON,1,14,Metropolitan Region,Avondale Heights
MULTIPOLYGON,1,0,Metropolitan Region,Avonsleigh
MULTIPOLYGON,1,0,Metropolitan Region,Badger Creek
MULTIPOLYGON,1,11,Metropolitan Region,Balaclava (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Balliang
MULTIPOLYGON,1,0,Metropolitan Region,Balliang East
MULTIPOLYGON,1,0,Metropolitan Region,Balnarring
MULTIPOLYGON,1,0,Metropolitan Region,Balnarring Beach
MULTIPOLYGON,1,259,Metropolitan Region,Balwyn
MULTIPOLYGON,1,383,Metropolitan Region,Balwyn North
MULTIPOLYGON,1,0,Metropolitan Region,Bangholme
MULTIPOLYGON,1,0,Metropolitan Region,Baw Baw (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Baxter
MULTIPOLYGON,1,0,Metropolitan Region,Bayles
MULTIPOLYGON,1,36,Metropolitan Region,Bayswater (Vic.)
MULTIPOLYGON,1,10,Metropolitan Region,Bayswater North
MULTIPOLYGON,1,0,Metropolitan Region,Beaconsfield (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Beaconsfield Upper
MULTIPOLYGON,1,19,Metropolitan Region,Beaumaris (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Beenak
MULTIPOLYGON,1,0,Metropolitan Region,Belgrave
MULTIPOLYGON,1,0,Metropolitan Region,Belgrave Heights
MULTIPOLYGON,1,4,Metropolitan Region,Belgrave South
MULTIPOLYGON,1,4,Metropolitan Region,Bellfield (Banyule - Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Bend Of Islands
MULTIPOLYGON,1,178,Metropolitan Region,Bentleigh
MULTIPOLYGON,1,154,Metropolitan Region,Bentleigh East
MULTIPOLYGON,1,101,Metropolitan Region,Berwick
MULTIPOLYGON,1,0,Metropolitan Region,Beveridge
MULTIPOLYGON,1,0,Metropolitan Region,Big Pats Creek
MULTIPOLYGON,1,0,Metropolitan Region,Bittern
