Postcode,Suburb,Distance (km),Direction
3000,North Melbourne,0.1,North
3000,South Melbourne,0.1,South
3000,East Melbourne,0.1,East
3000,West Melbourne,0.1,West
3000,Port Melbourne,0.1,West
3006,Southbank,1,South
3008,Docklands,1.1,South-west
3053,Carlton,2,North
3065,Fitzroy,2,North-east
3066,Collingwood,2.2,North-east
3052,Parkville,2.4,North
3121,Cremorne,2.9,South-east
3206,Albert Park,3,South
3067,Abbotsford,3.2,East
3121,Richmond,3.2,East
3207,Port Melbourne,3.3,South-west
3031,Kensington,3.7,North-west
3054,Princes Hill,3.7,North
3068,Clifton Hill,3.9,North-east
3206,Middle Park,4,South
3121,Burnley,4.6,East
3031,Flemington,4.8,North-west
3181,Prahran,4.8,South-east
3032,Travancore,5,North-west
3142,Toorak,5.1,South-east
3122,Hawthorn,5.2,East
3056,Brunswick,5.3,North
3181,Windsor,5.3,South-east
3032,Ascot Vale,5.5,North-west
3011,Footscray,5.8,West
3011,Seddon,6,West
3182,St Kilda,6.1,South
3101,Kew,6.3,East
3078,Fairfield,6.4,North-east
3013,Yarraville,6.4,West
3039,Moonee Ponds,6.5,North-west
3143,Armadale,6.7,South-east
3183,Balaclava,6.7,South-east
3144,Kooyong,6.7,East
3071,Thornbury,6.9,North-east
3078,Alphington,7,East
3015,Spotswood,7.1,West
3012,Kingsville,7.5,West
3185,Ripponlea,7.5,South-east
3016,Williamstown,7.5,South-west
3184,Elwood,7.7,South
3040,Essendon,7.7,North-west
3015,Newport,7.7,West
3144,Malvern,7.8,South-east
3058,Coburg,7.9,North
3032,Maribyrnong,8.2,North-west
3124,Camberwell,8.4,East
3079,Ivanhoe,8.5,North-east
3185,Elsternwick,8.6,South-east
3012,Maidstone,8.6,West
3040,Aberfeldie,8.7,North-west
3072,Preston,9.1,North-east
3162,Caulfield,9.3,South-east
3041,Strathmore,9.5,North-west
3146,Glen Iris,9.7,East
3012,Tottenham,9.8,West
3044,Pascoe Vale,9.9,North
3034,Avondale Heights,10,West
3081,Bellfield,10,North-east
3185,Gardenvale,10,South-east
3019,Braybrook,10.2,West
3012,Brooklyn,10.2,West
3103,Balwyn,10.4,East
3126,Canterbury,10.5,East
3163,Glen Huntly,10.8,South-east
3084,Eaglemont,10.9,East
3042,Niddrie,10.9,North-west
3081,Heidelberg Heights,11,North-east
3084,Heidelberg,11.2,North-east
3186,Brighton,11.3,South
3046,Oak Park,11.4,North
3073,Reservoir,11.5,North
3147,Ashburton,11.6,East
3163,Carnegie,11.8,South-east
3127,Surrey Hills,11.9,East
3084,Rosanna,12,North-east
3020,Sunshine,12,West
3046,Hadfield,12.1,North
3204,Ormond,12.1,South-east
3018,Seaholme,12.1,West
3125,Burwood,12.3,East
3041,Strathmore Heights,12.3,North-west
3105,Bulleen,12.5,East
3060,Fawkner,12.5,North
3127,Mont Albert,12.5,East
3163,Murrumbeena,12.5,South-east
3204,McKinnon,12.6,South-east
3147,Ashwood,12.7,East
3083,Kingsbury,12.8,North-east
3046,Glenroy,12.9,North
3018,Altona,13.2,West
3204,Bentleigh,13.2,South-east
3020,Albion,13.3,West
3043,Gowanbrae,13.4,North-west
3166,Hughesdale,13.5,South-east
3085,Macleod,13.5,North-east
3128,Box Hill,13.7,East
3188,Hampton,13.8,South
3148,Chadstone,14.1,East
3042,Keilor Park,14.1,North-west
3084,Viewbank,14.4,North-east
3022,Ardeer,14.5,West
3108,Doncaster,14.5,East
3047,Jacana,14.5,North
3021,Kealba,14.5,North-west
3166,Oakleigh,14.5,South-east
3107,Templestowe Lower,14.5,East
3061,Campbellfield,14.6,North
3189,Moorabbin,14.8,South-east
3047,Broadmeadows,15.3,North
3087,Watsonia,15.4,North-east
3036,Keilor,15.5,North-west
3043,Gladstone Park,15.6,North-west
3074,Thomastown,15.6,North
3085,Yallambie,15.6,North-east
3191,Sandringham,15.7,South
3083,Bundoora,15.8,North-east
3047,Dallas,15.9,North
3149,Mount Waverley,16.1,East
3023,Cairnlea,16.2,West
3106,Templestowe,16.2,East
3166,Huntingdale,16.3,South-east
3021,St Albans,16.3,West
3093,Lower Plenty,16.4,North-east
3043,Tullamarine,16.4,North-west
3190,Highett,16.5,South-east
3038,Keilor Downs,16.6,North-west
3049,Westmeadows,16.6,North
3130,Blackburn,16.8,East
3030,Derrimut,17,West
3075,Lalor,17.2,North
3023,Deer Park,17.3,West
3088,Greensborough,17.3,North-east
3028,Altona Meadows,17.5,West
3094,Montmorency,17.6,North-east
3049,Attwood,17.7,North-west
3192,Cheltenham,17.8,South-east
3088,Briar Hill,18,North-east
3131,Forest Hill,18,East
3193,Black Rock,18.3,South
3048,Coolaroo,18.3,North
3082,Mill Park,18.4,North-east
3168,Clayton,18.5,South-east
3021,Albanvale,18.6,West
