,Address,Education_Sector,Phone_number,School_Name,School_Type,Suburb
1,"51 Mt Pleasant Road, Belmont VIC 3216",Government,03 5243 2972,Belmont Primary School,Primary,Belmont
2,"37 Fairholme Boulevard, Berwick VIC 3806",Government,03 9707 1026,Berwick Primary School,Primary,Berwick
3,"231 Charman Road, Cheltenham VIC 3192",Government,03 8585 3200,Cheltenham Primary School,Primary,Cheltenham
4,"Elizabeth Street, Newport VIC 3015",Government,03 9391 8942,Newport Lakes Primary School,Primary,Newport
5,"Cnr Mostyn & Urquhart Street, Castlemaine VIC 3450",Government,03 5472 1452,Castlemaine Primary School,Primary,Castlemaine
6,"Mcculloch Street, Dromana VIC 3936",Government,03 5987 2367,Dromana Primary School,Primary,Dromana
7,"2 - 12 Council Street, Doncaster VIC 3108",Government,03 9848 1122,Doncaster Primary School,Primary,Doncaster
8,"Dalton Street, Eltham VIC 3095",Government,03 9439 9374,Eltham Primary School,Primary,Eltham
9,"Mt Alexander Road, Flemington VIC 3031",Government,03 9376 7137,Flemington Primary School,Primary,Flemington
10,"Cnr Geelong Road & Barkly St, Footscray VIC 3011",Government,03 9687 1910,Footscray Primary School,Primary,Footscray
11,"143 Bailey Street, Grovedale VIC 3216",Government,03 5243 3902,Grovedale Primary School,Primary,Grovedale
12,"Cnr Wood Street & Burwood Road, Hawthorn VIC 3122",Government,03 9818 2233,Hawthorn West Primary School,Primary,Hawthorn
13,"Cape Street, Heidelberg VIC 3084",Government,03 9457 2259,Heidelberg Primary School,Primary,Heidelberg
14,"1206 Geelong Road, Mount Clear VIC 3350",Government,03 5330 1844,Mount Clear Primary School,Primary,Mount Clear
15,"Unitt Street, Melton VIC 3337",Government,03 9743 5335,Melton Primary School,Primary,Melton
16,"319 George Street, Fitzroy VIC 3065",Government,03 9417 4222,Fitzroy Primary School,Primary,Fitzroy
17,"38 Raleigh Street, Essendon VIC 3040",Government,03 9370 7816,Essendon Primary School,Primary,Essendon
18,"92 Bell Street, Coburg VIC 3058",Government,03 9354 9332,Coburg Primary School,Primary,Coburg
19,"6 Spring Street, Thomastown VIC 3074",Government,03 9465 2225,Thomastown Primary School,Primary,Thomastown
20,"2 Deutgam Street, Werribee VIC 3030",Government,03 9742 6659,Werribee Primary School,Primary,Werribee
21,"3 Roberts Avenue, Castlemaine VIC 3450",Government,03 5472 1522,Winters Flat Primary School,Primary,Castlemaine
22,"1714 Dandenong Road, Clayton VIC 3168",Government,03 9544 1522,Clayton North Primary School,Primary,Clayton
23,"56B Hotham Street, Preston VIC 3072",Government,03 9484 1544,Preston South Primary School,Primary,Preston
24,"58 Barkly Street, Mordialloc VIC 3195",Government,03 9580 1468,Mordialloc Beach Primary School,Primary,Mordialloc
25,"63 - 65 Castella Street, Lilydale VIC 3140",Government,03 9735 1642,Lilydale Primary School,Primary,Lilydale
26,"290 Camberwell Road, Camberwell VIC 3124",Government,03 9882 4663,Camberwell Primary School,Primary,Camberwell
27,"60-80 Olympic Parade, Kangaroo Flat VIC 3555",Government,03 5447 5100,Kangaroo Flat Primary School,Primary,Kangaroo Flat
28,"41 The Heights, Sunbury VIC 3429",Government,03 9744 9744,Sunbury Primary School,Primary,Sunbury
