,Suburb,Rent,Distance,SchoolNo,CrimeNo,Buy_Price,HospitalNo,SupermarketNo,StationNo,NormRent,NormDistance,NormSchools,NormCrime,NormHospital,NormSupermarket,NormStation,Rent2bedroomflat,Rent3bedroomflat,Rent2bedroomhouse,Rent3bedroomhouse,Rent4bedroomhouse,RentAverageAll,School_Number
0,Abbotsford,630,3.2,3,1154,1290000,0,6,8,35,98,19,81,0,30,40,540,800,600,750,0,475,1
1,Albert Park,795,3,1,605,2150000,0,3,8,18,98,6,90,0,15,40,500,790,675,950,1100,570,2
2,Alfredton,360,104.9,2,310,410000,4,2,19,63,19,13,95,50,10,95,240,310,260,310,380,309,1
3,Alphington,590,7,3,219,1778500,1,7,3,39,95,19,96,13,35,15,445,590,500,650,800,410,1
4,Altona,423,13.2,3,595,950000,1,15,20,57,90,19,90,13,75,100,350,410,360,385,420,400,2
5,Armadale,835,6.7,2,480,2107500,0,20,1,14,95,13,92,0,100,5,500,710,645,900,1330,495,1
6,Ascot Vale,510,5.5,3,1046,1192500,1,20,20,48,96,19,83,13,100,100,400,525,500,580,730,440,3
7,Ashburton,530,11.6,3,354,1815000,1,7,2,46,91,19,94,13,35,10,450,550,425,500,630,460,2
8,Aspendale,455,26.6,2,253,1122500,1,1,20,53,80,13,96,13,5,100,380,475,400,460,550,430,2
9,Avondale Heights,420,10,2,313,850000,0,1,20,57,92,13,95,0,5,100,400,450,400,430,575,420,1
10,Balwyn,700,10.4,5,417,2360000,0,8,20,28,92,31,93,0,40,100,428,600,430,550,795,520,2
11,Barwon Heads,450,66.4,1,120,930500,0,1,20,54,49,6,98,0,5,100,340,395,350,400,470,400,1
12,Bayswater,400,26.9,7,910,805500,1,0,0,59,79,44,85,13,0,0,350,400,345,400,445,380,4
13,Beaumaris,798,20.1,2,261,1600000,0,5,20,18,85,13,96,0,25,100,470,685,525,728,995,570,3
14,Belmont,370,67.7,10,809,495000,1,0,0,62,48,63,87,13,0,0,310,378,330,375,430,365,7
15,Bentleigh,580,13.2,4,630,1450000,2,14,20,41,90,25,90,25,70,100,443,585,450,550,750,490,2
16,Berwick,410,41.2,10,1905,672500,7,10,10,58,68,63,69,88,50,50,335,380,340,380,420,400,9
17,Blackburn,450,16.8,4,469,1410000,1,19,4,54,87,25,92,13,95,20,400,475,390,450,570,430,4
18,Boronia,390,29,4,1645,731500,1,10,20,60,78,25,73,13,50,100,360,410,345,400,465,385,4
19,Box Hill,390,13.7,3,1211,1760000,3,9,20,60,89,19,80,38,45,100,450,515,400,470,600,435,1
20,Brighton,975,11.3,8,930,2830000,4,20,20,0,91,50,85,50,100,100,540,750,620,920,1295,650,3
21,Broadmeadows,340,15.3,2,2950,545000,1,8,0,65,88,13,52,13,40,0,340,360,340,360,430,369,6
22,Brunswick,580,5.3,2,2541,1204000,1,18,0,41,96,13,59,13,90,0,450,663,530,680,825,460,2
23,Bulleen,473,12.5,4,356,1300000,0,2,20,51,90,25,94,0,10,100,440,535,395,480,583,480,1
24,Bundoora,410,15.8,7,1962,752500,5,9,13,58,88,44,68,63,45,65,360,430,360,400,430,390,4
25,Buninyong,370,96.7,2,134,467500,0,0,6,62,26,13,98,0,0,30,245,300,265,325,390,330,1
26,Burwood,470,12.3,4,701,1370000,0,16,20,52,91,25,89,0,80,100,450,550,425,500,630,460,1
27,Camberwell,750,8.4,3,836,2295000,1,8,20,23,94,19,86,13,40,100,450,630,533,646,870,490,2
28,Canterbury,850,10.5,5,175,3051000,2,18,2,13,92,31,97,25,90,10,430,600,468,650,920,500,3
29,Carlton,675,2,2,1625,1477500,2,1,0,31,98,13,74,25,5,0,520,670,550,775,960,420,2
30,Carnegie,490,11.8,1,563,1502500,0,0,1,50,91,6,91,0,0,5,440,580,430,550,775,420,1
31,Carrum Downs,380,37.4,4,1379,532000,0,4,20,61,71,25,78,0,20,100,330,370,330,367,450,370,3
32,Castlemaine,340,106.4,6,427,435000,1,2,4,65,18,38,93,13,10,20,285,0,300,348,400,330,4
33,Caulfield,698,9.3,2,316,1859000,4,18,20,28,93,13,95,50,90,100,450,600,520,660,850,453,0
34,Chadstone,450,14.1,2,787,1131000,0,2,4,54,89,13,87,0,10,20,415,510,410,450,600,450,0
35,Chelsea,390,29.7,2,487,930000,1,14,0,60,77,13,92,13,70,0,380,475,400,460,550,430,1
36,Cheltenham,520,17.8,5,1628,1171000,1,17,20,47,86,31,74,13,85,100,415,500,445,525,660,450,5
37,Clayton,420,18.5,2,1249,1277500,6,12,20,57,86,13,80,75,60,100,385,480,385,430,550,400,3
38,Clifton Hill,650,3.9,3,653,1390000,0,0,9,33,97,19,89,0,0,45,490,740,595,770,988,550,2
39,Coburg,520,7.9,6,2234,1000000,2,8,20,47,94,38,64,25,40,100,400,520,450,540,650,445,6
40,Collingwood,650,2.2,1,2052,1210000,0,4,0,33,98,6,67,0,20,0,540,800,600,750,0,475,2
41,Corio,290,60.4,3,1861,305000,0,3,4,70,54,19,70,0,15,20,274,318,250,280,340,275,1
42,Craigieburn,390,24,8,2909,510000,1,6,20,60,82,50,53,13,30,100,330,350,333,370,420,380,7
43,Cranbourne,350,42.6,10,2302,510000,1,18,20,64,67,63,63,13,90,100,310,340,315,365,410,380,7
44,Croydon,420,28,5,1287,791000,1,20,2,57,78,31,79,13,100,10,350,420,370,410,500,400,7
45,Dandenong,350,29.3,9,6148,620000,5,15,18,64,77,56,0,63,75,90,300,400,330,380,525,346,7
46,Deer Park,370,17.3,3,1233,550500,0,8,0,62,87,19,80,0,40,0,320,350,320,350,400,350,2
47,Delacombe,345,104.9,1,411,325000,0,7,20,65,19,6,93,0,35,100,240,285,250,280,360,280,1
48,Doncaster,500,14.5,3,1085,1386500,0,20,2,49,89,19,82,0,100,10,440,535,395,480,583,480,3
49,Donvale,460,19.5,4,257,1200000,0,1,6,53,85,25,96,0,5,30,413,470,400,453,590,480,2
50,Dromana,360,57.8,3,470,687500,0,1,20,63,56,19,92,0,5,100,320,390,320,370,480,375,3
51,Elsternwick,730,8.6,5,485,2000000,2,14,20,25,93,31,92,25,70,100,450,580,550,760,970,430,0
52,Eltham,460,19.8,6,615,928500,0,14,1,53,85,38,90,0,70,5,375,458,400,460,580,450,3
53,Elwood,680,7.7,4,733,1877500,1,2,20,30,94,25,88,13,10,100,460,620,610,875,1100,440,2
54,Endeavour Hills,390,31.5,8,958,630000,0,3,3,60,76,50,84,0,15,15,320,360,310,360,420,355,6
55,Epping,373,19.1,7,2644,565000,2,7,20,62,85,44,57,25,35,100,330,350,340,370,420,370,6
56,Essendon,450,7.7,7,1112,1401000,1,4,0,54,94,44,82,13,20,0,385,470,400,470,648,400,3
57,Fairfield,620,6.4,1,440,1461000,1,11,1,36,95,6,93,13,55,5,445,590,500,650,800,410,1
58,Fawkner,400,12.5,4,956,704500,0,9,20,59,90,25,84,0,45,100,360,425,360,400,495,380,3
59,Ferntree Gully,415,30.2,8,1340,749000,1,8,20,57,77,50,78,13,40,100,350,420,330,400,455,400,6
60,Fitzroy,678,2,4,2137,1625000,3,12,5,30,98,25,65,38,60,25,600,780,645,820,1100,560,1
61,Flemington,520,4.8,5,979,1100000,0,11,0,47,96,31,84,0,55,0,410,583,500,600,798,425,3
62,Footscray,470,5.8,4,2244,891000,8,14,20,52,96,25,64,100,70,100,390,520,450,500,505,375,5
63,Forest Hill,410,18,1,417,1060000,2,6,20,58,86,6,93,25,30,100,385,460,400,440,520,450,1
