,Suburb,School_Total,Crime Number,Buy Price 2017
141,DANDENONG,9.0,6148,620000
193,FRANKSTON,7.0,6018,600000
328,MILDURA,10.0,4588,265000
451,SHEPPARTON,14.0,4302,260000
413,PRESTON,6.0,4124,990000
423,RICHMOND,7.0,3510,1305000
467,ST KILDA,4.0,3436,1535000
347,MORWELL,2.0,3427,170000
422,RESERVOIR,6.0,3317,814000
534,WERRIBEE,16.0,3218,478500
464,ST ALBANS,13.0,3176,622000
505,TRARALGON,8.0,3079,285000
73,BROADMEADOWS,2.0,2950,545000
131,CRAIGIEBURN,8.0,2909,510000
529,WARRNAMBOOL,8.0,2853,330000
425,RINGWOOD,7.0,2775,909000
478,SUNSHINE,6.0,2760,763000
179,EPPING,7.0,2644,565000
197,GEELONG,8.0,2622,735000
74,BRUNSWICK,2.0,2541,1204000
395,PAKENHAM,6.0,2447,480000
49,BENDIGO,9.0,2428,397500
236,HOPPERS CROSSING,6.0,2309,516000
132,CRANBOURNE,10.0,2302,510000
190,FOOTSCRAY,4.0,2244,891000
120,COBURG,6.0,2234,1000000
378,NOBLE PARK,8.0,2222,690000
546,WODONGA,8.0,2217,340500
363,NARRE WARREN,8.0,2216,600000
186,FITZROY,4.0,2137,1625000
477,SUNBURY,10.0,2128,490000
460,SOUTH YARRA,6.0,2058,1965000
126,COLLINGWOOD,1.0,2052,1210000
495,THOMASTOWN,5.0,1989,654000
318,MELTON,10.0,1981,368500
78,BUNDOORA,7.0,1962,752500
462,SPRINGVALE,4.0,1957,780000
334,MOE,6.0,1937,175000
458,SOUTH MELBOURNE,3.0,1906,1532500
52,BERWICK,10.0,1905,672500
409,PORT MELBOURNE,2.0,1865,1515000
128,CORIO,3.0,1861,305000
381,NORTHCOTE,6.0,1659,1327000
206,GLENROY,6.0,1653,740000
63,BORONIA,4.0,1645,731500
107,CHELTENHAM,5.0,1628,1171000
92,CARLTON,2.0,1625,1477500
168,ECHUCA,6.0,1588,320000
345,MORNINGTON,7.0,1587,798000
446,SEAFORD,9.0,1575,700000
440,SALE,8.0,1548,300000
227,HEIDELBERG,4.0,1544,1275000
404,POINT COOK,4.0,1516,605000
329,MILL PARK,6.0,1512,668500
521,WANGARATTA,12.0,1473,275000
307,MALVERN EAST,4.0,1457,1910000
237,HORSHAM,6.0,1439,264000
203,GLEN WAVERLEY,12.0,1387,1335000
96,CARRUM DOWNS,4.0,1379,532000
432,ROSEBUD,3.0,1345,530000
185,FERNTREE GULLY,8.0,1340,749000
485,TARNEIT,3.0,1323,520000
434,ROWVILLE,6.0,1298,865000
496,THORNBURY,6.0,1295,1211000
310,MARIBYRNONG,2.0,1292,1027500
137,CROYDON,5.0,1287,791000
482,SWAN HILL,7.0,1287,251000
26,BAIRNSDALE,8.0,1273,270000
112,CLAYTON,2.0,1249,1277500
261,KEYSBOROUGH,5.0,1235,760000
146,DEER PARK,3.0,1233,550500
526,WARRAGUL,8.0,1222,370000
64,BOX HILL,3.0,1211,1760000
488,TAYLORS LAKES,2.0,1209,718000
380,NORTH MELBOURNE,5.0,1194,1406000
319,MELTON SOUTH,5.0,1160,378000
533,WENDOUREE,3.0,1160,265000
218,HAMPTON PARK,6.0,1159,505000
0,ABBOTSFORD,3.0,1154,1290000
523,WANTIRNA SOUTH,6.0,1153,1005000
355,MOUNT WAVERLEY,7.0,1128,1408000
290,LILYDALE,7.0,1114,720000
181,ESSENDON,7.0,1112,1401000
86,CAMPBELLFIELD,2.0,1111,501000
340,MOONEE PONDS,2.0,1103,1310000
156,DONCASTER,3.0,1085,1386500
222,HAWTHORN,8.0,1070,2470000
67,BRAYBROOK,3.0,1060,730000
221,HASTINGS,4.0,1057,506500
280,LALOR,6.0,1046,630000
17,ASCOT VALE,3.0,1046,1192500
356,MULGRAVE,4.0,1045,900000
341,MOORABBIN,7.0,1033,1151500
259,KEW,11.0,1027,2300000
365,NARRE WARREN SOUTH,3.0,1013,621000
459,SOUTH MORANG,2.0,1006,615000
209,GREENSBOROUGH,7.0,989,830000
160,DOVETON,2.0,982,490000
188,FLEMINGTON,5.0,979,1100000
215,HAMILTON,9.0,971,190000
178,ENDEAVOUR HILLS,8.0,958,630000
184,FAWKNER,4.0,956,704500
435,ROXBURGH PARK,2.0,952,515000
142,DANDENONG NORTH,4.0,949,630000
134,CRANBOURNE NORTH,1.0,942,545000
450,SEYMOUR,1.0,936,277000
508,TULLAMARINE,1.0,933,655000
70,BRIGHTON,8.0,930,2830000
448,SEBASTOPOL,3.0,924,257000
283,LANGWARRIN,5.0,910,599500
38,BAYSWATER,7.0,910,805500
387,OAKLEIGH,4.0,906,1210000
316,MEADOW HEIGHTS,2.0,896,451000
187,FITZROY NORTH,4.0,891,1490000
343,MOOROOPNA,5.0,876,225000
323,MERNDA,2.0,875,526500
228,HEIDELBERG WEST,1.0,861,730000
2,AIRPORT WEST,1.0,859,843500
123,COLAC,7.0,847,282000
