,Suburb,Primary_School_Number,Secondary_School_Number,Special_School_Number,PS_School_Number,School_Total,Region
0,ABBOTSFORD,3.0,2.0,0.0,2.0,3.0,NOTHERN
1,ABERFELDIE,1.0,1.0,0.0,0.0,2.0,WESTERN
2,AIRPORT WEST,1.0,0.0,0.0,0.0,1.0,WESTERN
3,ALBERT PARK,1.0,0.0,0.0,0.0,1.0,SOUTHERN
4,ALBERTON,1.0,0.0,0.0,0.0,1.0,GIPPSLAND
5,ALBION,2.0,0.0,0.0,0.0,2.0,WESTERN
6,ALEXANDRA,2.0,1.0,0.0,0.0,3.0,HUME
7,ALFREDTON,2.0,0.0,0.0,0.0,2.0,GRAMPIANS
8,ALPHINGTON,3.0,1.0,0.0,1.0,3.0,NOTHERN
9,ALTONA,3.0,0.0,0.0,0.0,3.0,WESTERN
10,ALTONA MEADOWS,2.0,0.0,0.0,0.0,2.0,WESTERN
11,ALTONA NORTH,4.0,3.0,0.0,1.0,6.0,WESTERN
12,ANGLESEA,1.0,0.0,0.0,0.0,1.0,BARWON
13,APSLEY,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
14,ARARAT,4.0,2.0,0.0,0.0,6.0,GRAMPIANS
15,ARDEER,2.0,0.0,0.0,0.0,2.0,WESTERN
16,ARMADALE,2.0,1.0,0.0,1.0,2.0,SOUTHERN
17,ASCOT VALE,2.0,0.0,1.0,0.0,3.0,WESTERN
18,ASPENDALE,1.0,0.0,1.0,0.0,2.0,SOUTHERN
19,ASPENDALE GARDENS,1.0,0.0,0.0,0.0,1.0,SOUTHERN
20,AVENEL,1.0,0.0,0.0,0.0,1.0,HUME
21,AVOCA,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
22,AVONDALE HEIGHTS,2.0,0.0,0.0,0.0,2.0,WESTERN
23,BACCHUS MARSH,3.0,2.0,0.0,1.0,4.0,GRAMPIANS
24,BALLARAT,7.0,5.0,0.0,1.0,11.0,GRAMPIANS
25,BALWYN,4.0,3.0,1.0,3.0,5.0,EASTERN
26,BALWYN NORTH,6.0,1.0,0.0,0.0,7.0,EASTERN
27,BARWON HEADS,1.0,0.0,0.0,0.0,1.0,BARWON
28,BAXTER,1.0,0.0,0.0,0.0,1.0,SOUTHERN
29,BEACONSFIELD,1.0,1.0,0.0,0.0,2.0,SOUTHERN
30,BEACONSFIELD UPPER,1.0,0.0,0.0,0.0,1.0,SOUTHERN
31,BEALIBA,1.0,0.0,0.0,0.0,1.0,LODDEN MALLEE
32,BEAUFORT,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
33,BEAUMARIS,2.0,0.0,0.0,0.0,2.0,SOUTHERN
34,BENALLA,2.0,1.0,1.0,0.0,4.0,HUME
35,BENDIGO,5.0,5.0,1.0,2.0,9.0,LODDEN MALLEE
36,BENTLEIGH,3.0,1.0,0.0,0.0,4.0,SOUTHERN
37,BENTLEIGH EAST,3.0,2.0,0.0,0.0,5.0,SOUTHERN
38,BERWICK,7.0,5.0,1.0,3.0,10.0,SOUTHERN
39,BETHANGA,1.0,0.0,0.0,0.0,1.0,HUME
40,BEULAH,1.0,0.0,0.0,0.0,1.0,GRAMPIANS
