Id,Suburb,Primary_School_Number,Secondary_School_Number,Special_School_Number
0,DANDENONG,6,2,1
1,FRANKSTON,5,3,0
2,MILDURA,6,4,1
3,SHEPPARTON,8,7,1
4,PRESTON,6,1,0
5,RICHMOND,3,2,2
6,ST KILDA,3,2,0
7,MORWELL,2,0,0
8,RESERVOIR,4,1,1
9,WERRIBEE,13,7,0
10,ST ALBANS,10,2,1
11,TRARALGON,5,2,1
12,BROADMEADOWS,1,0,1
13,CRAIGIEBURN,6,3,0
14,WARRNAMBOOL,6,2,1
15,RINGWOOD,4,4,0
16,SUNSHINE,4,1,1
17,EPPING,3,5,0
18,GEELONG,6,5,0
19,BRUNSWICK,0,2,0
20,PAKENHAM,5,3,0
21,BENDIGO,5,5,1
22,HOPPERS CROSSING,5,2,0
23,CRANBOURNE,7,4,0
24,FOOTSCRAY,2,2,0
25,COBURG,4,2,1
26,NOBLE PARK,6,2,1
27,WODONGA,5,3,0
28,NARRE WARREN,6,1,1
29,FITZROY,2,1,1
30,SUNBURY,7,3,1
31,SOUTH YARRA,4,2,1
32,COLLINGWOOD,1,0,0
33,THOMASTOWN,4,1,0
34,MELTON,6,4,1
35,BUNDOORA,4,3,1
36,SPRINGVALE,3,2,0
37,MOE,4,1,1
38,SOUTH MELBOURNE,1,0,2
39,BERWICK,7,5,1
40,PORT MELBOURNE,1,0,1
41,CORIO,3,2,0
42,NORTHCOTE,3,2,1
43,GLENROY,4,2,1
44,BORONIA,4,0,0
45,CHELTENHAM,5,0,0
46,CARLTON,2,0,0
47,ECHUCA,3,3,1
48,MORNINGTON,4,2,1
49,SEAFORD,7,1,1
50,SALE,6,3,0
51,HEIDELBERG,2,1,1
52,POINT COOK,4,2,0
53,MILL PARK,5,1,0
54,WANGARATTA,8,3,2
55,MALVERN EAST,4,0,0
56,HORSHAM,3,3,1
57,GLEN WAVERLEY,9,2,1
58,CARRUM DOWNS,3,1,0
59,ROSEBUD,2,1,0
60,FERNTREE GULLY,5,2,1
61,TARNEIT,2,2,0
62,ROWVILLE,5,1,0
63,THORNBURY,6,2,0
64,MARIBYRNONG,1,1,0
65,CROYDON,4,0,1
66,SWAN HILL,4,2,1
67,BAIRNSDALE,5,2,1
68,CLAYTON,2,0,0
69,KEYSBOROUGH,5,4,0
70,DEER PARK,3,0,0
71,WARRAGUL,4,3,2
72,BOX HILL,2,2,0
73,TAYLORS LAKES,0,2,0
74,NORTH MELBOURNE,2,1,2
75,MELTON SOUTH,4,2,0
76,WENDOUREE,3,1,0
77,HAMPTON PARK,5,1,0
78,ABBOTSFORD,3,2,0
79,WANTIRNA SOUTH,5,1,1
80,MOUNT WAVERLEY,5,3,0
81,LILYDALE,5,4,0
82,ESSENDON,4,4,0
83,CAMPBELLFIELD,2,1,0
84,MOONEE PONDS,2,0,0
85,DONCASTER,2,1,0
86,HAWTHORN,6,3,1
87,BRAYBROOK,1,2,0
88,HASTINGS,3,1,0
89,LALOR,4,1,1
90,ASCOT VALE,2,0,1
91,MULGRAVE,2,1,1
92,MOORABBIN,4,1,2
93,KEW,8,6,3
94,NARRE WARREN SOUTH,3,1,0
95,SOUTH MORANG,2,1,0
96,GREENSBOROUGH,5,1,1
97,DOVETON,2,1,0
98,FLEMINGTON,3,2,0
99,HAMILTON,6,4,1
100,ENDEAVOUR HILLS,8,1,0
101,FAWKNER,4,1,0
102,ROXBURGH PARK,2,0,0
103,DANDENONG NORTH,3,1,0
104,CRANBOURNE NORTH,1,0,0
105,SEYMOUR,1,1,0
106,TULLAMARINE,1,0,0
107,BRIGHTON,7,3,0
108,SEBASTOPOL,3,1,0
109,LANGWARRIN,4,1,0
110,BAYSWATER,6,1,0
111,OAKLEIGH,3,2,0
112,MEADOW HEIGHTS,2,0,0
113,FITZROY NORTH,3,1,0
114,MOOROOPNA,4,1,0
115,MERNDA,2,0,0
116,HEIDELBERG WEST,1,0,0
117,AIRPORT WEST,1,0,0
118,COLAC,5,1,1
119,ALTONA NORTH,4,3,0
120,KANGAROO FLAT,2,1,1
121,CAMBERWELL,2,1,0
122,BENTLEIGH EAST,3,2,0
123,BRUNSWICK EAST,3,0,0
124,SUNSHINE WEST,3,1,0
125,IVANHOE,4,2,0
126,PASCOE VALE,3,1,0
127,WILLIAMSTOWN,3,1,0
128,BELMONT,6,4,1
129,LARA,2,1,0
130,ARARAT,4,2,0
131,HALLAM,1,0,0
132,PARKVILLE,0,1,0
133,CHADSTONE,1,1,0
134,BENALLA,2,1,1
135,WEST MELBOURNE,0,1,0
136,HIGHETT,1,0,0
137,MOOROOLBARK,7,3,0
138,KENSINGTON,2,0,0
139,PORTLAND,4,2,1
140,DROUIN,5,2,0
141,MARYBOROUGH,1,1,0
142,CAROLINE SPRINGS,3,2,0
143,WALLAN,1,0,0
144,ELWOOD,3,2,0
145,MELTON WEST,2,0,0
146,BACCHUS MARSH,3,2,0
147,YARRAVILLE,4,0,0
148,BURWOOD,4,2,0
149,WINDSOR,1,1,0
150,SUNSHINE NORTH,3,0,1
151,BRUNSWICK WEST,4,0,0
152,ALTONA MEADOWS,2,0,0
153,DONCASTER EAST,6,1,0
154,DOREEN,3,1,0
155,GLEN IRIS,6,2,0
156,FRANKSTON NORTH,0,1,0
157,TOORAK,4,3,0
158,GROVEDALE,4,1,0
159,CLIFTON HILL,3,0,0
160,CLYDE NORTH,1,1,0
161,MENTONE,5,5,0
162,MORDIALLOC,1,2,0
163,NEWCOMB,2,1,0
164,LAVERTON,1,0,0
165,CLAYTON SOUTH,3,1,0
166,MALVERN,4,2,0
167,OFFICER,3,0,0
168,BENTLEIGH,3,1,0
169,CRANBOURNE EAST,1,1,1
170,ELTHAM,4,3,0
171,ALBERT PARK,1,0,0
172,MITCHAM,4,1,0
173,ALTONA,3,0,0
