,Suburb,Primary_School_Number,Secondary_School_Number,Special_School_Number
0,DANDENONG,6,2,1
1,FRANKSTON,5,3,0
2,PRESTON,6,1,0
3,RICHMOND,3,2,2
4,ST KILDA,3,2,0
5,RESERVOIR,4,1,1
6,WERRIBEE,13,7,0
7,ST ALBANS,10,2,1
8,BROADMEADOWS,1,0,1
9,CRAIGIEBURN,6,3,0
10,RINGWOOD,4,4,0
11,SUNSHINE,4,1,1
12,EPPING,3,5,0
13,GEELONG,6,5,0
14,BRUNSWICK,0,2,0
15,PAKENHAM,5,3,0
16,HOPPERS CROSSING,5,2,0
17,CRANBOURNE,7,4,0
18,FOOTSCRAY,2,2,0
19,COBURG,4,2,1
20,NOBLE PARK,6,2,1
21,NARRE WARREN,6,1,1
22,FITZROY,2,1,1
23,SUNBURY,7,3,1
24,COLLINGWOOD,1,0,0
25,THOMASTOWN,4,1,0
26,MELTON,6,4,1
27,BUNDOORA,4,3,1
28,SPRINGVALE,3,2,0
29,MOE,4,1,1
30,SOUTH MELBOURNE,1,0,2
31,BERWICK,7,5,1
32,PORT MELBOURNE,1,0,1
33,PORT MELBOURNE,1,0,1
34,CORIO,3,2,0
35,GLENROY,4,2,1
36,BORONIA,4,0,0
37,CHELTENHAM,5,0,0
38,CARLTON,2,0,0
39,MORNINGTON,4,2,1
40,SEAFORD,7,1,1
41,HEIDELBERG,2,1,1
42,POINT COOK,4,2,0
43,MILL PARK,5,1,0
44,GLEN WAVERLEY,9,2,1
45,CARRUM DOWNS,3,1,0
46,ROSEBUD,2,1,0
47,FERNTREE GULLY,5,2,1
48,TARNEIT,2,2,0
49,ROWVILLE,5,1,0
50,THORNBURY,6,2,0
51,MARIBYRNONG,1,1,0
52,CROYDON,4,0,1
53,CLAYTON,2,0,0
54,KEYSBOROUGH,5,4,0
55,DEER PARK,3,0,0
56,WARRAGUL,4,3,2
57,BOX HILL,2,2,0
58,TAYLORS LAKES,0,2,0
59,NORTH MELBOURNE,2,1,2
60,WENDOUREE,3,1,0
61,HAMPTON PARK,5,1,0
62,ABBOTSFORD,3,2,0
63,MOUNT WAVERLEY,5,3,0
64,LILYDALE,5,4,0
65,ESSENDON,4,4,0
66,CAMPBELLFIELD,2,1,0
67,MOONEE PONDS,2,0,0
68,DONCASTER,2,1,0
69,HAWTHORN,6,3,1
70,BRAYBROOK,1,2,0
71,HASTINGS,3,1,0
72,LALOR,4,1,1
73,ASCOT VALE,2,0,1
74,MULGRAVE,2,1,1
75,MOORABBIN,4,1,2
76,KEW,8,6,3
77,GREENSBOROUGH,5,1,1
78,DOVETON,2,1,0
79,FLEMINGTON,3,2,0
80,ENDEAVOUR HILLS,8,1,0
81,FAWKNER,4,1,0
82,ROXBURGH PARK,2,0,0
83,SEYMOUR,1,1,0
84,TULLAMARINE,1,0,0
85,BRIGHTON,7,3,0
86,SEBASTOPOL,3,1,0
87,LANGWARRIN,4,1,0
88,BAYSWATER,6,1,0
89,OAKLEIGH,3,2,0
90,MEADOW HEIGHTS,2,0,0
91,MERNDA,2,0,0
92,KANGAROO FLAT,2,1,1
93,KANGAROO FLAT,2,1,1
94,CAMBERWELL,2,1,0
95,IVANHOE,4,2,0
96,PASCOE VALE,3,1,0
97,WILLIAMSTOWN,3,1,0
98,BELMONT,6,4,1
99,LARA,2,1,0
100,HALLAM,1,0,0
101,PARKVILLE,0,1,0
102,CHADSTONE,1,1,0
103,WEST MELBOURNE,0,1,0
104,HIGHETT,1,0,0
105,MOOROOLBARK,7,3,0
106,KENSINGTON,2,0,0
107,DROUIN,5,2,0
108,CAROLINE SPRINGS,3,2,0
109,WALLAN,1,0,0
110,ELWOOD,3,2,0
111,BACCHUS MARSH,3,2,0
112,YARRAVILLE,4,0,0
113,BURWOOD,4,2,0
114,WINDSOR,1,1,0
115,ALTONA MEADOWS,2,0,0
116,DOREEN,3,1,0
117,GLEN IRIS,6,2,0
118,TOORAK,4,3,0
119,GROVEDALE,4,1,0
120,CLIFTON HILL,3,0,0
121,MENTONE,5,5,0
122,MORDIALLOC,1,2,0
123,NEWCOMB,2,1,0
124,LAVERTON,1,0,0
125,MALVERN,4,2,0
126,OFFICER,3,0,0
127,BENTLEIGH,3,1,0
128,ELTHAM,4,3,0
129,ALBERT PARK,1,0,0
130,MITCHAM,4,1,0
131,ALTONA,3,0,0
132,WONTHAGGI,3,1,0
133,KEILOR DOWNS,2,0,0
134,CARNEGIE,1,0,0
135,NEWPORT,3,0,0
136,NEWBOROUGH,3,0,0
137,KILMORE,4,2,0
138,NUNAWADING,1,1,0
139,RYE,3,0,0
140,GREENVALE,3,1,0
141,HAMPTON,1,0,0
142,WHEELERS HILL,5,1,0
143,CHELSEA,2,0,0
144,ELSTERNWICK,5,3,0
145,WANTIRNA,3,1,0
146,ARMADALE,2,1,0
147,SOMERVILLE,3,0,0
148,SANDRINGHAM,3,1,0
149,KILSYTH,4,0,0
150,HADFIELD,1,0,0
151,DROMANA,1,1,1
152,BLACKBURN,3,1,0
153,DERRIMUT,1,0,0
154,SCORESBY,2,1,0
155,WATSONIA,2,1,0
156,FAIRFIELD,1,0,0
157,GLADSTONE PARK,3,1,0
158,CASTLEMAINE,5,2,0
159,DIAMOND CREEK,4,1,0
160,ALBION,2,0,0
161,FOREST HILL,1,0,0
162,BALWYN,4,3,1
163,MOUNT ELIZA,4,1,0
164,DELACOMBE,1,0,0
165,PARKDALE,1,0,0
166,SYDENHAM,2,1,0
167,HIGHTON,4,1,0
168,ASHWOOD,1,1,2
169,PATTERSON LAKES,1,0,0
170,WHITTINGTON,1,0,1
171,MACLEOD,1,1,0
172,ARDEER,2,0,0
173,TORQUAY,2,0,0
174,KYNETON,2,2,0
175,DALLAS,5,4,0
176,MOUNT MARTHA,2,0,0
