Suburb,Average_rent
Albert Park-Middle Park-West St Kilda,$500
Armadale,$500
Carlton North,$488
Carlton-Parkville,$520
CBD-St Kilda Rd,$590
Collingwood-Abbotsford,$540
Docklands,$620
East Melbourne,$580
East St Kilda,$430
Elwood,$460
Fitzroy,$600
Fitzroy North-Clifton Hill,$490
Flemington-Kensington,$410
North Melbourne-West Melbourne,$530
Port Melbourne,$600
Prahran-Windsor,$500
Richmond-Burnley,$550
South Melbourne,$550
South Yarra,$560
Southbank,$580
St Kilda,$490
Toorak,$495
Group Total,$550
Balwyn,$428
Blackburn,$400
Box Hill,$450
Bulleen-Templestowe-Doncaster,$440
Burwood-Ashburton,$450
Camberwell-Glen Iris,$450
Canterbury-Surrey Hills-Mont Albert,$430
Chadstone-Oakleigh,$415
Clayton,$385
Doncaster East-Donvale,$413
East Hawthorn,$450
Glen Waverley-Mulgrave,$410
Hawthorn,$450
Kew,$430
Mount Waverley,$408
Nunawading-Mitcham,$385
Vermont-Forest Hill-Burwood East,$385
Group Total,$430
Aspendale-Chelsea-Carrum,$380
Bentleigh,$443
Brighton,$540
Brighton East,$460
Carnegie,$440
Caulfield,$450
Cheltenham,$415
Elsternwick,$450
Hampton-Beaumaris,$470
Malvern,$460
Malvern East,$435
Mentone-Parkdale-Mordialloc,$400
Murrumbeena-Hughesdale,$425
Group Total,$430
Altona,$350
Footscray,$390
Keilor East-Avondale Heights,$400
Melton,$270
Newport-Spotswood,$360
St Albans-Deer Park,$320
Sunshine,$315
Sydenham,$350
Werribee-Hoppers Crossing,$305
West Footscray,$360
Williamstown,$390
Yarraville-Seddon,$383
Group Total,$345
Broadmeadows-Roxburgh Park,$340
Brunswick,$450
Coburg-Pascoe Vale South,$400
Craigieburn,$330
East Brunswick,$473
Essendon,$385
Gladstone Park-Tullamarine,$340
Keilor,-
Moonee Ponds-Ascot Vale,$400
Oak Park-Glenroy-Fawkner,$360
Pascoe Vale-Coburg North,$385
Sunbury,$325
West Brunswick,$390
Group Total,$390
Bundoora-Greensborough-Hurstbridge,$360
Eltham-Research-Montmorency,$375
Fairfield-Alphington,$445
Heidelberg-Heidelberg West,$395
Ivanhoe-Ivanhoe East,$420
Mill Park-Epping,$330
Northcote,$490
Preston,$400
Reservoir,$350
Thomastown-Lalor,$330
Thornbury,$400
Whittlesea,$300
Group Total,$375
Bayswater,$350
Boronia,$360
Croydon-Lilydale,$350
Ferntree Gully,$350
Ringwood,$360
Rowville,$375
Wantirna-Scoresby,$375
Yarra Ranges,$320
Group Total,$355
Berwick,$335
Cranbourne,$310
Dandenong,$300
Dandenong North-Endeavour Hills,$320
Narre Warren-Hampton Park,$320
Noble Park,$330
Pakenham,$293
Springvale,$350
Group Total,$320
Dromana-Portsea,$320
Frankston,$320
Hastings-Flinders,$320
Mt Eliza-Mornington-Mt Martha,$360
Seaford-Carrum Downs,$330
Group Total,$320
Belmont-Grovedale,$310
Corio,$274
Geelong-Newcombe,$300
Herne Hill-Geelong West,$290
Lara,$290
Newtown,$310
North Geelong,$300
Group Total,$300
Ballarat,$250
Mount Clear-Buninyong,$245
Sebastopol-Delacombe,$240
Wendouree-Alfredton,$240
Group Total,$245
Bendigo,$250
Flora Hill-Bendigo East,$250
Golden Square-Kangaroo Flat,$260
North Bendigo,$250
Group Total,$250
Bairnsdale,$240
Benalla,$208
Castlemaine,$285
Echuca,$250
Hamilton,$195
Horsham,$210
Mildura,$210
Moe-Newborough,$170
Morwell,$185
Ocean Grove-Barwon Heads,$340
Portland,$195
Sale-Maffra,$230
Seymour,$218
Shepparton,$230
Swan Hill,$230
Torquay,$350
Traralgon,$235
Wanagaratta,$220
Warragul,$265
Warrnambool,$250
Wodonga,$235
Group Total,$230
