Suburb,Average_rent
Albert Park-Middle Park-West St Kilda,$570
Armadale,$495
Carlton North,$570
Carlton-Parkville,$420
CBD-St Kilda Rd,$480
Collingwood-Abbotsford,$475
Docklands,$550
East Melbourne,$510
East St Kilda,$410
Elwood,$440
Fitzroy,$560
Fitzroy North-Clifton Hill,$550
Flemington-Kensington,$425
North Melbourne-West Melbourne,$450
Port Melbourne,$620
Prahran-Windsor,$435
Richmond-Burnley,$510
South Melbourne,$525
South Yarra,$470
Southbank,$540
St Kilda,$420
Toorak,$500
Group Total,$480
Balwyn,$520
Blackburn,$430
Box Hill,$435
Bulleen-Templestowe-Doncaster,$480
Burwood-Ashburton,$460
Camberwell-Glen Iris,$490
Canterbury-Surrey Hills-Mont Albert,$500
Chadstone-Oakleigh,$450
Clayton,$400
Doncaster East-Donvale,$480
East Hawthorn,$440
Glen Waverley-Mulgrave,$480
Hawthorn,$400
Kew,$500
Mount Waverley,$490
Nunawading-Mitcham,$420
Vermont-Forest Hill-Burwood East,$450
Group Total,$450
Aspendale-Chelsea-Carrum,$430
Bentleigh,$490
Brighton,$650
Brighton East,$690
Carnegie,$420
Caulfield,$453
Cheltenham,$450
Elsternwick,$430
Hampton-Beaumaris,$570
Malvern,$495
Malvern East,$430
Mentone-Parkdale-Mordialloc,$420
Murrumbeena-Hughesdale,$425
Group Total,$460
Altona,$400
Footscray,$375
Keilor East-Avondale Heights,$420
Melton,$330
Newport-Spotswood,$470
St Albans-Deer Park,$350
Sunshine,$350
Sydenham,$400
Werribee-Hoppers Crossing,$360
West Footscray,$380
Williamstown,$510
Yarraville-Seddon,$465
Group Total,$380
Broadmeadows-Roxburgh Park,$369
Brunswick,$460
Coburg-Pascoe Vale South,$445
Craigieburn,$380
East Brunswick,$430
Essendon,$400
Gladstone Park-Tullamarine,$380
Keilor,$460
Moonee Ponds-Ascot Vale,$440
Oak Park-Glenroy-Fawkner,$380
Pascoe Vale-Coburg North,$400
Sunbury,$360
West Brunswick,$370
Group Total,$400
Bundoora-Greensborough-Hurstbridge,$390
Eltham-Research-Montmorency,$450
Fairfield-Alphington,$410
Heidelberg-Heidelberg West,$420
Ivanhoe-Ivanhoe East,$463
Mill Park-Epping,$370
Northcote,$500
Preston,$420
Reservoir,$370
Thomastown-Lalor,$360
Thornbury,$420
Whittlesea,$375
Group Total,$390
Bayswater,$380
Boronia,$385
Croydon-Lilydale,$400
Ferntree Gully,$400
Ringwood,$395
Rowville,$450
Wantirna-Scoresby,$440
Yarra Ranges,$385
Group Total,$400
Berwick,$400
Cranbourne,$380
Dandenong,$346
Dandenong North-Endeavour Hills,$355
Narre Warren-Hampton Park,$375
Noble Park,$350
Pakenham,$350
Springvale,$380
Group Total,$370
Dromana-Portsea,$375
Frankston,$360
Hastings-Flinders,$375
Mt Eliza-Mornington-Mt Martha,$460
Seaford-Carrum Downs,$370
Group Total,$380
Belmont-Grovedale,$365
Corio,$275
Geelong-Newcombe,$330
Herne Hill-Geelong West,$330
Lara,$380
Newtown,$370
North Geelong,$340
Group Total,$340
Ballarat,$290
Mount Clear-Buninyong,$330
Sebastopol-Delacombe,$280
Wendouree-Alfredton,$309
Group Total,$295
Bendigo,$290
Flora Hill-Bendigo East,$290
Golden Square-Kangaroo Flat,$300
North Bendigo,$290
Group Total,$290
Bairnsdale,$290
Benalla,$250
Castlemaine,$330
Echuca,$310
Hamilton,$240
Horsham,$265
Mildura,$280
Moe-Newborough,$210
Morwell,$210
Ocean Grove-Barwon Heads,$400
Portland,$250
Sale-Maffra,$265
Seymour,$270
Shepparton,$280
Swan Hill,$250
Torquay,$495
Traralgon,$280
Wanagaratta,$277
Warragul,$325
Warrnambool,$300
Wodonga,$300
Group Total,$280
