Address,Phone_number,School_Name,School_Type,Suburb,URL,Rating
"51 Mt Pleasant Road, Belmont VIC 3216",03 5243 2972,Belmont Primary School,Primary,Belmont,http://www.belmontps.vic.edu.au/,3.8
"37 Fairholme Boulevard, Berwick VIC 3806",03 9707 1026,Berwick Primary School,Primary,Berwick,http://www.berwickprimary.vic.edu.au/,4.1
"231 Charman Road, Cheltenham VIC 3192",03 8585 3200,Cheltenham Primary School,Primary,Cheltenham,http://cheltenhamps.vic.edu.au/,4
"Elizabeth Street, Newport VIC 3015",03 9391 8942,Newport Lakes Primary School,Primary,Newport,http://www.newportlakesps.vic.edu.au/,5
"Cnr Mostyn & Urquhart Street, Castlemaine VIC 3450",03 5472 1452,Castlemaine Primary School,Primary,Castlemaine,http://www.castlemaineps.vic.edu.au/,3.8
"Mcculloch Street, Dromana VIC 3936",03 5987 2367,Dromana Primary School,Primary,Dromana,http://dromanaps.vic.edu.au/?id=9,4
"2 - 12 Council Street, Doncaster VIC 3108",03 9848 1122,Doncaster Primary School,Primary,Doncaster,http://doncasterps.vic.edu.au/,3.9
"Dalton Street, Eltham VIC 3095",03 9439 9374,Eltham Primary School,Primary,Eltham,http://www.elthamps.vic.edu.au/,2.2
"Mt Alexander Road, Flemington VIC 3031",03 9376 7137,Flemington Primary School,Primary,Flemington,http://www.flemingtonps.vic.edu.au/,4.3
"Cnr Geelong Road & Barkly St, Footscray VIC 3011",03 9687 1910,Footscray Primary School,Primary,Footscray,http://www.footscrayps.vic.edu.au/,3.2
"143 Bailey Street, Grovedale VIC 3216",03 5243 3902,Grovedale Primary School,Primary,Grovedale,http://grovedaleps.vic.edu.au/,3.1
"Cnr Wood Street & Burwood Road, Hawthorn VIC 3122",03 9818 2233,Hawthorn West Primary School,Primary,Hawthorn,http://www.hawthornwestps.vic.edu.au/,3.7
"Cape Street, Heidelberg VIC 3084",03 9457 2259,Heidelberg Primary School,Primary,Heidelberg,http://www.heidelbergps.vic.edu.au/,4.7
"1206 Geelong Road, Mount Clear VIC 3350",03 5330 1844,Mount Clear Primary School,Primary,Mount Clear,http://mountclearps.vic.edu.au/,3
"Unitt Street, Melton VIC 3337",03 9743 5335,Melton Primary School,Primary,Melton,http://meltonps.vic.edu.au/,3.5
"319 George Street, Fitzroy VIC 3065",03 9417 4222,Fitzroy Primary School,Primary,Fitzroy,http://fitzroyprimaryschool.vic.edu.au/,4.2
"38 Raleigh Street, Essendon VIC 3040",03 9370 7816,Essendon Primary School,Primary,Essendon,http://www.essendonps.vic.edu.au/,3.5
"92 Bell Street, Coburg VIC 3058",03 9354 9332,Coburg Primary School,Primary,Coburg,http://www.coburgps.vic.edu.au/,3.9
"6 Spring Street, Thomastown VIC 3074",03 9465 2225,Thomastown Primary School,Primary,Thomastown,http://www.thomastownps.vic.edu.au/,4.9
"2 Deutgam Street, Werribee VIC 3030",03 9742 6659,Werribee Primary School,Primary,Werribee,http://www.werribeeps.vic.edu.au/,2.9
"3 Roberts Avenue, Castlemaine VIC 3450",03 5472 1522,Winters Flat Primary School,Primary,Castlemaine,http://www.winters-flat-ps.vic.edu.au/,3.4
"1714 Dandenong Road, Clayton VIC 3168",03 9544 1522,Clayton North Primary School,Primary,Clayton,http://www.claytonnorthps.vic.edu.au/,4
"56B Hotham Street, Preston VIC 3072",03 9484 1544,Preston South Primary School,Primary,Preston,http://www.prestonsouthps.vic.edu.au/,4.8
"58 Barkly Street, Mordialloc VIC 3195",03 9580 1468,Mordialloc Beach Primary School,Primary,Mordialloc,http://www.mordiallocps.vic.edu.au/,3.4
"63 - 65 Castella Street, Lilydale VIC 3140",03 9735 1642,Lilydale Primary School,Primary,Lilydale,http://www.lilydaleps.vic.edu.au/,3.3
"290 Camberwell Road, Camberwell VIC 3124",03 9882 4663,Camberwell Primary School,Primary,Camberwell,http://www.camberwellps.vic.edu.au,3.8
"60-80 Olympic Parade, Kangaroo Flat VIC 3555",03 5447 5100,Kangaroo Flat Primary School,Primary,Kangaroo Flat,http://www.kangarooflatps.vic.edu.au/,3.5
"41 The Heights, Sunbury VIC 3429",03 9744 9744,Sunbury Primary School,Primary,Sunbury,http://www.sunburyps.vic.edu.au/,4
"4-10 Nurlendi Road, Vermont VIC 3133",03 9874 2511,Vermont Primary School,Primary,Vermont,http://www.vermontps.vic.edu.au/,3.4
"86B Balwyn Road, Balwyn VIC 3103",03 9836 7121,Balwyn Primary School,Primary,Balwyn,http://balwynps.vic.edu.au/,4.4
"11 Ingrid Street, Scoresby VIC 3179",03 9763 7484,Scoresby Primary School,Primary,Scoresby,http://www.scoresbyps.vic.edu.au/,3.7
"Peel Street, Kew VIC 3101",03 9853 8325,Kew Primary School,Primary,Kew,http://www.kewps.vic.edu.au/,4.3
"89a Cuthberts Road, Alfredton VIC 3350",03 5334 1572,Alfredton Primary School,Primary,Alfredton,http://www.alfredtonps.vic.edu.au/,2.3
