Suburb,Name,Latitude,Longitude
Abbotsford,Woolworths Abbotsford,-37.8099063,144.9954893
Abbotsford,Coles Richmond,-37.8179578,144.9991157
Abbotsford,Woolworths Fitzroy,-37.801623,144.9836082
Abbotsford,Minh Phat Asian Supermarket,-37.809554,144.996408
Abbotsford,ALDI Abbotsford,-37.8097174,144.9957108
Abbotsford,Coles Victoria Gardens,-37.8138791,145.0113655
Abbotsford,McCoppins - Clifton Hill,-37.788861,144.989554
Abbotsford,IGA Abbotsford,-37.7998221,144.9957121
Abbotsford,Coles Collingwood,-37.8036338,144.9836937
Abbotsford,PP Seafoods,-37.8100561,144.9974182
Abbotsford,Flower of Sorrento,-37.787873,144.999208
Abbotsford,FoodWorks,-37.8058938,144.9801679
Albert Park,Coles Port Melbourne,-37.8385873,144.9419494
Albert Park,Coles South Melbourne,-37.832175,144.960519
Albert Park,ALDI South Melbourne,-37.8300259,144.9573079
Albert Park,FoodWorks Albert Park,-37.847382,144.949014
Albert Park,Woolworths South Melbourne,-37.8311864,144.9574409
Albert Park,The Essential Ingredient South Melbourne,-37.831851,144.959398
Albert Park,Woolworths Metro Southbank,-37.8268331,144.9593534
Albert Park,FoodWorks On Dundas Place,-37.8413806,144.9538754
Albert Park,Kaufland Office,-37.8310076,144.9663033
Alfredton,ALDI Alfredton,-37.5555376,143.8167797
Alfredton,Woolworths Lucas,-37.5435097,143.7859512
Alphington,Woolworths Ivanhoe,-37.7700113,145.0414052
Alphington,Cardamones Food & Wine,-37.7765891,145.0187556
Alphington,Friendly Mart / Fish & Chips,-37.778568,145.010627
Altona,Coles,-37.8689535,144.8299628
Altona,Altona IGA,-37.8661988,144.8306705
Altona,Civic Parade Milkbar,-37.8651075,144.838281
Armadale,Woolworths Armadale,-37.855993,145.022877
Armadale,Coles Malvern,-37.8602055,145.0291029
Armadale,Woolworths Malvern,-37.8632412,145.0270261
Armadale,Kelly Cube Pickup Point,-37.856649,145.005474
Armadale,Woolworths Hawksburn,-37.8481232,145.0051882
Armadale,IGA Xpress Malvern,-37.8533957,145.0415367
Armadale,shahi India,-37.854544,145.0296043
Armadale,Woolworths Caulfield North,-37.8630718,145.0102874
Ascot Vale,Woolworths Moonee Ponds,-37.7677571,144.9213978
Ascot Vale,Coles Moonee Ponds,-37.7644668,144.921963
Ascot Vale,Woolworths Newmarket Plaza,-37.7871653,144.9278898
Ascot Vale,Coles Showgrounds Village,-37.7822154,144.9150315
Ascot Vale,FoodWorks,-37.7942161,144.9299117
Ascot Vale,FoodWorks,-37.7881074,144.9304417
Ascot Vale,ALDI Moonee Ponds,-37.7653945,144.9234677
Ascot Vale,Ascot Market,-37.7810501,144.9320491
Ascot Vale,Ascot vale,-37.7783917,144.9214043
Ascot Vale,Foodworks,-37.7733836,144.9156434
Ascot Vale,Russo's Supermarket,-37.766587,144.9188447
Ascot Vale,Cheaper Buy Miles,-37.788445,144.930172
Ascot Vale,Your Local Milk Bar,-37.76799,144.9086801
Ascot Vale,Kensington Foodwise,-37.7942167,144.9292217
Ashburton,Woolworths Ashwood,-37.8665643,145.0937195
Aspendale,FoodWorks,-38.0265684,145.1023792
Aspendale,Edithvale IGA,-38.0365506,145.1071512
Avondale Heights,Coles Avondale Heights,-37.7674313,144.8633793
Avondale Heights,Woolworths East Keilor,-37.749849,144.86068
Avondale Heights,ALDI Keilor East,-37.7498882,144.8611603
Avondale Heights,FoodWorks,-37.7445922,144.8667757
Balwyn,Boccaccio SUPA IGA,-37.8015709,145.0624842
Balwyn,Woolworths Balwyn,-37.8126483,145.0831418
Balwyn,Buckleys IGA X-press,-37.8249804,145.0816781
Balwyn,Sunny Golf<U+9633><U+5149><U+9AD8><U+5C14><U+592B><U+5E97>,-37.812656,145.081052
Balwyn,Friendly Grocer Iga North Balwyn,-37.8033482,145.0841179
Barwon Heads,IGA,-38.2826707,144.4922971
Bayswater,ALDI Bayswater,-37.8430758,145.2662159
Bayswater,Coles Bayswater,-37.8427797,145.266768
Bayswater,Woolworths Bayswater,-37.8409577,145.2627237
Bayswater,Food Factory Sales,-37.84242,145.26549
Bayswater,C-Rite Refrigeration Display Doors,-37.8468413,145.2843887
Beaumaris,Woolworths Mentone,-37.981562,145.0624315
Beaumaris,Coles Mentone,-37.9840899,145.0643988
Belmont,Coles Belmont,-38.1702168,144.3487377
Belmont,Coles,-38.173613,144.3430748
Belmont,ALDI Belmont,-38.1740494,144.3442889
Belmont,FoodWorks,-38.1811152,144.3277802
Belmont,Woolworths,-38.1723704,144.3232342
Belmont,IGA Xpress Vallis,-38.1672587,144.3194803
Belmont,Gourmet Asian Grocery,-38.1742447,144.3427913
Belmont,Geelong Belmont Asian Groceries Store,-38.1750465,144.3430105
Belmont,Newtown Grocery,-38.1555157,144.3360597
Bentleigh,Russian Food,-37.918559,145.041251
Bentleigh,Woolworths Bentleigh,-37.919306,145.0421065
Bentleigh,ALDI Bentleigh,-37.9177686,145.0338365
Bentleigh,Coles Bentleigh,-37.917567,145.038505
Bentleigh,IGA Bentleigh,-37.9257947,145.0343922
Bentleigh,Woolworths Moorabbin,-37.9346864,145.0388951
Bentleigh,IGA Xpress Brighton East,-37.9136198,145.0173114
Bentleigh,Foodworks,-37.935247,145.0497981
Bentleigh,CTC,-37.918841,145.03715
Bentleigh,WELLBEING KOREAN GROCERY,-37.918477,145.0375768
Bentleigh,Savemore Supermarket,-37.9178487,145.0359783
Bentleigh,CK Foodstore,-37.917766,145.034271
Berwick,Woolworths Berwick,-38.0295413,145.3468595
Berwick,Coles Berwick Central,-38.0321315,145.3450459
Berwick,Mansfield Street Food Mart,-38.030097,145.327406
Blackburn,Woolworths Blackburn North,-37.8123272,145.1528951
Blackburn,Woolworths,-37.8312686,145.1473779
Blackburn,Coles Forest Hill,-37.8349389,145.1645641
Blackburn,ALDI Forest Hill,-37.834838,145.1653441
Blackburn,Woolworths Forest Hill,-37.8358281,145.1644646
Blackburn,Safeway Forest Hill 3150,-37.8355663,145.164834
Blackburn,Happy Mart,-37.832148,145.1489717
Blackburn,<U+4E07><U+5BB6><U+8D85><U+5E02>,-37.8319587,145.145811
Blackburn,Shop & Save Asian Grocery,-37.8115666,145.1532103
Blackburn,Yang Yang Groceries,-37.8351829,145.1657237
Boronia,Woolworths,-37.8616748,145.2847614
Boronia,Coles Boronia,-37.8612901,145.2873619
Boronia,NQR Boronia,-37.8611781,145.2816779
Boronia,C-Rite Refrigeration Display Doors,-37.8468413,145.2843887
Box Hill,ALDI Box Hill South,-37.8293777,145.1209108
Box Hill,Coles Box Hill,-37.8181727,145.1204359
Box Hill,Woolworths,-37.8192514,145.1211627
Box Hill,BOXHILL - VIC - KFL SUPERMARKET,-37.8290147,145.1222572
Box Hill,Charm Mart,-37.8201281,145.1207364
Box Hill,<U+91D1><U+65FA><U+8D85><U+5E02>,-37.8183676,145.1221036
Box Hill,Kerrimuir Goodfellows Supermarket,-37.808328,145.140188
Brighton,Coles Brighton,-37.9129027,144.9930499
Brighton,Woolworths Middle Brighton,-37.9151128,144.9955551
Brighton,Coles Brighton,-37.9059502,145.0048062
Brighton,Dockendorff's IGA,-37.9043535,144.9984436
Brighton,Marmacks Winery,-37.8976104,145.0037467
Broadmeadows,Woolworths Broadmeadows,-37.6804365,144.9180366
Broadmeadows,Coles Broadmeadows,-37.6795703,144.918814
Broadmeadows,ALDI Broadmeadows,-37.6786198,144.9197276
Broadmeadows,Freshplus Dallas,-37.672176,144.931518
Broadmeadows,IGA X-press,-37.6894826,144.9269291
Broadmeadows,Foodworks,-37.6735462,144.9303068
Broadmeadows,Country Supermarket,-37.689935,144.926908
Broadmeadows,NQR Broadmeadows,-37.6760276,144.927457
Brunswick,Coles Barkly Square,-37.7760558,144.9627968
Brunswick,ALDI Brunswick,-37.7709542,144.9619285
Brunswick,Woolworths Brunswick,-37.7700489,144.9603267
Brunswick,Coles Union Square,-37.7723544,144.9487326
Brunswick,Gervasi FoodWorks Italian Food,-37.7560982,144.9641436
Brunswick,IGA Xpress Brunswick East,-37.768669,144.972372
Brunswick,Woolworths Barkly Square,-37.7759879,144.9619036
Brunswick,IGA Coburg,-37.755642,144.975397
Brunswick,Brunswick Aldi Carpark,-37.7709521,144.9622211
Brunswick,Vinfresh,-37.761503,144.962911
Brunswick,Tasafi,-37.7585851,144.9632605
Brunswick,Woolworths Metro Brunswick,-37.7580408,144.9638313
Brunswick,Gervasi Continental Deli,-37.7758277,144.9622625
Brunswick,Gervasi Continental supermarket,-37.756118,144.964205
Brunswick,La Tosca Foods Pty Ltd,-37.7572411,144.9749581
Brunswick,Albion Budget Supermarket,-37.758528,144.945015
Brunswick,TT Mart,-37.778857,144.9781703
Bulleen,Coles Bulleen,-37.7652459,145.0919012
Bulleen,ALDI Templestowe Lower,-37.773233,145.111965
Bulleen,Smart Supermarket S2MART,-37.765668,145.091944
Bundoora,Woolworths Bundoora,-37.6949593,145.0583976
Bundoora,Coles Bundoora,-37.6972053,145.0581021
Bundoora,ALDI Bundoora,-37.6997616,145.0588566
Bundoora,Coles Uni Hill,-37.682701,145.0705259
Burwood,Woolworths Burwood East,-37.8528703,145.134247
Burwood,IGA CAMBERWELL,-37.850112,145.094503
Camberwell,Woolworths Petrol,-37.8318164,145.0588458
Camberwell,Coles Camberwell,-37.8292993,145.0563884
Camberwell,Woolworths Camberwell,-37.8292499,145.0590331
Camberwell,Buckleys IGA X-press,-37.8249804,145.0816781
Camberwell,Woolworths Middle Camberwell,-37.8339951,145.0773442
Camberwell,Coles Middle Camberwell,-37.8333496,145.0774646
Camberwell,ALDI Camberwell,-37.8306099,145.0584116
Camberwell,IGA Xpress Mid Camberwell,-37.8359917,145.0931264
Canterbury,Buckleys IGA X-press,-37.8249804,145.0816781
Canterbury,Woolworths Camberwell,-37.8292499,145.0590331
Canterbury,Woolworths Middle Camberwell,-37.8339951,145.0773442
Canterbury,Woolworths Petrol,-37.8318164,145.0588458
Canterbury,Woolworths Balwyn,-37.8126483,145.0831418
Canterbury,Coles Camberwell,-37.8292993,145.0563884
Canterbury,Coles Middle Camberwell,-37.8333496,145.0774646
Canterbury,Sunny Golf<U+9633><U+5149><U+9AD8><U+5C14><U+592B><U+5E97>,-37.812656,145.081052
Canterbury,IGA Xpress Mid Camberwell,-37.8359917,145.0931264
Canterbury,ALDI Camberwell,-37.8306099,145.0584116
Carlton,ALDI Melbourne CBD,-37.8074309,144.9622196
Carlton,Coles Melbourne Central,-37.8099763,144.9633857
Carlton,Woolworths QV,-37.8111722,144.9648705
Carlton,Coles Fitzroy,-37.7980653,144.9779678
Carlton,Woolworths Carlton,-37.7982327,144.9686898
Carlton,Woolworths Fitzroy,-37.801623,144.9836082
Carlton,Coles Central Melbourne Cbd,-37.8177394,144.9650224
Carlton,KT MART,-37.804315,144.9590551
Carlton,IGA Fitzroy,-37.7942453,144.9794884
Carlton,FoodWorks Melbourne University,-37.7968617,144.960401
Carlton,IGA,-37.8081077,144.9683548
Carlton,FoodWorks,-37.8024846,144.9779397
Carlton,Woolworths Literature Lane,-37.8096079,144.9613061
Carlton,Woolworths Metro,-37.8111877,144.9650378
Carlton,Coles Collingwood,-37.8036338,144.9836937
Carlton,Woolworths Metro,-37.8138952,144.9660948
Carlton,Discountsuperfood,-37.814066,144.962644
Carlton,IGA Xpress Melbourne (85 Queen St),-37.816486,144.961032
Carlton,Woolworths Metro,-37.8167061,144.9644806
Carlton,Woolworths Flinders Street (Metro),-37.8176663,144.9655146
Carnegie,Woolworths Carnegie,-37.8876826,145.0564104
Carnegie,Woolworths Glen Huntly,-37.888939,145.0410413
Carnegie,Woolworths Carnegie North,-37.8845767,145.0580853
Carnegie,ALDI Carnegie,-37.8842925,145.0583025
Carnegie,Coles Chadstone,-37.8854686,145.0843741
Carnegie,Woolworths Chadstone,-37.8870425,145.0844334
Carnegie,ALDI Chadstone,-37.8862349,145.0842337
Carnegie,Hao’s Asian Grocer,-37.8843125,145.0581423
Carnegie,ALAN Grocery,-37.8939241,145.0766609
Carnegie,Kolesworth Supermarket,-37.8956641,145.0769476
Carrum Downs,Woolworths Carrum Downs,-38.101859,145.184101
Carrum Downs,ABAA ENTERPRISES,-38.100417,145.163137
Carrum Downs,Roberts Designs,-38.0928502,145.1607461
Carrum Downs,Rowellyn Milk Bar,-38.1057691,145.1930582
Carrum Downs,McCormicks Food Store,-38.0960946,145.1985433
Castlemaine,Maxi SUPA IGA,-37.0665368,144.2186279
Castlemaine,IGA Castlemaine Plus Liquor,-37.0630379,144.2167116
Caulfield,Woolworths Glen Huntly,-37.888939,145.0410413
Caulfield,Coles Supermarkets,-37.8848372,145.006907
Caulfield,Coles Caulfield,-37.8761634,145.0430499
Caulfield,The Front of Dan Murphys,-37.8746043,145.0394372
Chadstone,Coles Chadstone,-37.8854686,145.0843741
Chadstone,Woolworths Chadstone,-37.8870425,145.0844334
Chadstone,Woolworths Ashwood,-37.8665643,145.0937195
Chadstone,ALDI Chadstone,-37.8862349,145.0842337
Chadstone,Woolworths Oakleigh,-37.9009026,145.0910338
Chadstone,Little Korea,-37.898728,145.0907125
Chadstone,Dounias Bros PTY Ltd.,-37.899601,145.089168
Chadstone,ALAN Grocery,-37.8939241,145.0766609
Chadstone,Kolesworth Supermarket,-37.8956641,145.0769476
Chelsea,IGA Chelsea Heights,-38.0450831,145.1362517
Chelsea,NQR Chelsea,-38.0533647,145.1160429
Chelsea,Woolworths Chelsea,-38.0543332,145.1158699
Cheltenham,Woolworths Cheltenham,-37.9595721,145.0558109
Cheltenham,FoodWorks,-37.9668789,145.0569119
Cheltenham,Foodtown,-37.966885,145.05681
Cheltenham,Coles Southland,-37.9587654,145.051141
Cheltenham,IGA Cheltenham,-37.9531817,145.0633459
Cheltenham,Dollar King,-37.9579917,145.0517916
Cheltenham,Woolworths Mentone,-37.981562,145.0624315
Cheltenham,Coles Mentone,-37.9840899,145.0643988
Cheltenham,Foodworks Cheltenham Dang's,-37.9705652,145.0688267
Cheltenham,ALDI Mentone,-37.9752494,145.0678581
Cheltenham,park,-37.9659325,145.0547941
Cheltenham,ALDI Southland,-37.958444,145.054808
Clayton,Campbells,-37.9252556,145.1382312
Clayton,Clayton Supermarket PTY Ltd.,-37.92743,145.119673
Clayton,Coles Clayton (Centre Rd),-37.928091,145.1181524
Clayton,Hong Kong Supermarket,-37.9262672,145.1191644
Clayton,Elco Food Co.,-37.9099022,145.1502152
Clayton,Jewel Food Stores PTY Ltd.,-37.925468,145.138141
Clayton,Everyday Supermarket,-37.9113701,145.1230796
Clayton,O2shop<U+6C27><U+6C14><U+5C0F><U+94FA> Clayton,-37.903881,145.137542
Clayton,Miss Seven Asian Grocery,-37.9056831,145.1424636
Clayton,Coles Clayton (North Store),-37.926035,145.1186312
Clayton,Starmark Supermarket,-37.9280765,145.1188337
Clayton,"coles supermarkets, Coles Clayton",-37.9281229,145.118176
Clayton,Milk Bar,-37.8983304,145.1239891
Clayton,Harry's Factory Outlet,-37.9282625,145.1153356
Clifton Hill,Terra Madre,-37.779593,144.99675
Clifton Hill,McCoppins - Clifton Hill,-37.788861,144.989554
Clifton Hill,IGA Fitzroy,-37.7942453,144.9794884
Clifton Hill,Woolworths Fitzroy,-37.801623,144.9836082
Clifton Hill,IGA Abbotsford,-37.7998221,144.9957121
Clifton Hill,"Piedimonte's Supermarket & Liquor, North Fitzroy",-37.7833239,144.9830081
Clifton Hill,IGA Northcote,-37.7717645,144.998711
Clifton Hill,Flower of Sorrento,-37.787873,144.999208
Clifton Hill,Friendly Mart / Fish & Chips,-37.778568,145.010627
Coburg,Coles Coburg,-37.7426038,144.9662706
Coburg,Woolworths Coburg Station,-37.7438334,144.9638509
Coburg,Gervasi FoodWorks Italian Food,-37.7560982,144.9641436
Coburg,Coles Coburg,-37.7420369,144.9640751
Coburg,IGA Coburg,-37.755642,144.975397
Coburg,Coles Coburg North,-37.7316134,144.9503319
Coburg,Gervasi Continental supermarket,-37.756118,144.964205
Coburg,Woolworths Metro Brunswick,-37.7580408,144.9638313
Coburg,Piedimonte’s Supermarket & Liquor,-37.7390729,144.9468156
Coburg,Tasafi,-37.7585851,144.9632605
Coburg,Piedimonte's Supermarket & Liquor,-37.7392005,144.9466432
Coburg,La Tosca Foods Pty Ltd,-37.7572411,144.9749581
Coburg,Vinfresh,-37.761503,144.962911
Collingwood,Coles Fitzroy,-37.7980653,144.9779678
Collingwood,McCoppins - Clifton Hill,-37.788861,144.989554
Collingwood,Woolworths Fitzroy,-37.801623,144.9836082
Collingwood,Woolworths Abbotsford,-37.8099063,144.9954893
Collingwood,Minh Phat Asian Supermarket,-37.809554,144.996408
Collingwood,Woolworths Carlton,-37.7982327,144.9686898
Collingwood,ALDI Abbotsford,-37.8097174,144.9957108
Collingwood,IGA Fitzroy,-37.7942453,144.9794884
Collingwood,Coles Collingwood,-37.8036338,144.9836937
Collingwood,IGA Abbotsford,-37.7998221,144.9957121
Collingwood,FoodWorks,-37.8024846,144.9779397
Collingwood,IGA,-37.8081077,144.9683548
Collingwood,FoodWorks,-37.8058938,144.9801679
Collingwood,PP Seafoods,-37.8100561,144.9974182
Collingwood,Flower of Sorrento,-37.787873,144.999208
Collingwood,Foodworks carlton,-37.7926585,144.9695406
Corio,The Reject Shop Corio,-38.074164,144.3559023
Corio,Coles Corio,-38.076031,144.3556323
Corio,Woolworths Corio Village,-38.0742041,144.3571644
Corio,Foodworks,-38.0861167,144.352025
Corio,Rose Ave Milk Bar,-38.0876955,144.3602178
Craigieburn,Woolworths Craigieburn Plaza,-37.5979487,144.9386205
Craigieburn,Coles Craigieburn,-37.5920602,144.91522
Craigieburn,Alnoor,-37.5978743,144.9409915
Craigieburn,ALDI Craigieburn,-37.5946551,144.9145081
Cranbourne,Coles Cranbourne West,-38.103079,145.2655472
Cranbourne,ALDI Cranbourne,-38.1115556,145.2842117
Cranbourne,Ahmad super market/Indian Spices @ Cranbourne,-38.1119255,145.2827805
Cranbourne,Coles Cranbourne,-38.1084674,145.2818032
Cranbourne,Woolworths Cranbourne Park,-38.1103835,145.2815402
Cranbourne,NEMA HALAL BUTCHERS AND SUPERMARKET,-38.112591,145.282677
Cranbourne,Woolworths Cranbourne East ( Hunt Club),-38.1000536,145.2942056
Cranbourne,Woolworths,-38.109959,145.281868
Cranbourne,ALDI Cranbourne East,-38.1001368,145.2936804
Croydon,Coles Croydon,-37.7936604,145.2785724
Croydon,Woolworths Croydon,-37.7999682,145.2831643
Croydon,ALDI Croydon,-37.794166,145.2801954
Croydon,IGA Xpress Croydon South,-37.81133,145.270555
Dandenong,Bamyan Halal Meat,-37.986563,145.212299
Dandenong,Coles Dandenong,-37.9829098,145.213532
Dandenong,Coles Dandenong Plaza,-37.9865099,145.2182737
Dandenong,ALDI Dandenong,-37.9860255,145.2166584
Dandenong,India At Home,-37.9869298,145.2175021
Dandenong,Woolworths,-37.9878619,145.218142
Dandenong,Dandenong IGA,-37.9826252,145.2023933
Dandenong,FoodWorks Menzies Cellars,-37.9662231,145.2089126
Dandenong,North Dandy Liquor,-37.9680888,145.2027316
Dandenong,ALDI Dandenong Market,-37.983393,145.216097
Dandenong,<U+4E39><U+5FB7><U+519C><U+6C34><U+679C><U+5E02><U+573A>,-37.9837311,145.2163068
Dandenong,Bestway Supermarket,-37.988365,145.214776
Deer Park,Coles Burnside,-37.7590174,144.7536777
Deer Park,ALDI Burnside,-37.7595729,144.7533374
Deer Park,Coles Brimbank,-37.7519237,144.7758801
Deer Park,Woolworths Deer Park,-37.7511694,144.7733251
Deer Park,ALDI Deer Park,-37.7500062,144.7743926
Deer Park,IGA Deer Park,-37.7777984,144.7559239
Delacombe,Woolworths,-37.592103,143.8042485
Doncaster,Woolworths Doncaster Shopping Town,-37.7867704,145.1262666
Doncaster,Coles,-37.7866997,145.1257802
Doncaster,Woolworths Templestowe,-37.7729716,145.1138432
Doncaster,ALDI Templestowe Lower,-37.773233,145.111965
Doncaster,Budget Rite Supermarket,-37.781952,145.109992
Doncaster,Hiper staar,-37.8015159,145.1263597
Donvale,Coles Tunstall Square,-37.7916627,145.1722285
Donvale,Woolworths Doncaster,-37.7894651,145.1582605
Donvale,KFL Convenience Store,-37.7886863,145.1610319
Donvale,<U+BBF8><U+B2C8><U+B9C8><U+D2B8>,-37.7903418,145.1565916
Dromana,Ritchies SUPA IGA Dromana,-38.3339414,144.9647532
Dromana,The Floating Market Asian Grocer,-38.3313246,144.9676679
Elsternwick,Coles Supermarkets,-37.8848372,145.006907
Elsternwick,Elsternwick Express Convenience Store,-37.8845416,145.0002469
Elsternwick,Elwood Supermarket,-37.8852981,144.9880978
Elsternwick,FoodWorks Elwood,-37.885452,144.9879176
Elsternwick,Marmacks Winery,-37.8976104,145.0037467
Eltham,ALDI Eltham,-37.7129883,145.1501297
Eltham,Woolworths Eltham,-37.7137822,145.1502037
Eltham,Safeway Eltham,-37.7141314,145.1502205
Eltham,Coles Eltham,-37.715117,145.1484119
Elwood,Woolworths St Kilda,-37.8684794,144.9787787
Elwood,Coles Supermarkets,-37.8848372,145.006907
Elwood,Coles St Kilda,-37.8683338,144.9806607
Elwood,Coles Balaclava,-37.8678649,144.9919952
Elwood,Elsternwick Express Convenience Store,-37.8845416,145.0002469
Elwood,Elwood Supermarket,-37.8852981,144.9880978
Elwood,FoodWorks Elwood,-37.885452,144.9879176
Elwood,Woolworths Balaclava,-37.868338,144.991199
Endeavour Hills,Coles Endeavour Hills,-37.9777127,145.2578719
Endeavour Hills,ALDI Endeavour Hills,-37.9767627,145.2582614
Endeavour Hills,Woolworths Endeavour Hills,-37.9761348,145.2588014
Endeavour Hills,The Reject Shop Endeavour Hills,-37.9771539,145.2594575
Endeavour Hills,Mini Mart,-37.9801986,145.2453881
Epping,Coles Epping,-37.6541983,145.0194441
Epping,Woolworths Epping,-37.6542383,145.0176008
Epping,Woolworths Epping North,-37.6278017,145.0273299
Epping,ALDI Epping,-37.6551405,145.0162501
Epping,aussie farming,-37.6492864,144.9987538
Epping,<U+5317><U+8FB9><U+5E02><U+573A>,-37.6492158,144.9985892
Epping,ALDI Epping,-37.6216366,145.0064857
Epping,Coles Aurora Village,-37.6213849,145.0065544
Essendon,Coles Moonee Ponds,-37.7644668,144.921963
Essendon,Coles Essendon,-37.7437282,144.9106901
Essendon,Boundy's SUPA IGA Buckley Street,-37.7549995,144.8971647
Essendon,FoodWorks,-37.7544559,144.9154612
Essendon,Friendly Grocery AGI,-37.756521,144.915591
Fairfield,Terra Madre,-37.779593,144.99675
Fairfield,McCoppins - Clifton Hill,-37.788861,144.989554
Fairfield,IGA Abbotsford,-37.7998221,144.9957121
Fairfield,Flower of Sorrento,-37.787873,144.999208
Fairfield,Friendly Mart / Fish & Chips,-37.778568,145.010627
Fairfield,Cardamones Food & Wine,-37.7765891,145.0187556
