Suburb,Name,Latitude,Longitude
Abbotsford,Clarke St,-37.8007412,145.0017114
Abbotsford,Clarke St,-37.8006258,145.0018168
Abbotsford,Trenerry Cr,-37.8004842,145.0003782
Abbotsford,Trenerry Cr,-37.8005758,144.9999328
Abbotsford,Nicholson St,-37.8002829,144.9980781
Abbotsford,Yarra Bend Park,-37.801634,145.0070709
Abbotsford,Nicholson St,-37.8003764,144.9977462
Abbotsford,Yarra Bend Park,-37.8018617,145.0072124
Abbotsford,Victoria Park Station,-37.7998887,144.9939774
Abbotsford,Victoria Park,-37.797948,144.9953814
Abbotsford,Walmer St,-37.8034524,145.0112131
Abbotsford,Hoddle St/Johnston St,-37.7999808,144.993566
Abbotsford,Vere St,-37.8028225,144.9926838
Abbotsford,Johnston St,-37.8004139,144.9930659
Abbotsford,Walmer St,-37.8037469,145.01158
Abbotsford,Vere St,-37.8022514,144.9923782
Abbotsford,Gipps St,-37.8047397,144.9923927
Abbotsford,Gipps St,-37.8042513,144.992062
Abbotsford,Johnston St/Hoddle St,-37.7994016,144.9928889
Abbotsford,Hoddle St,-37.7997193,144.9924941
Albert Park,Bridport St,-37.8423528,144.9490312
Albert Park,Bridport St,-37.8422372,144.9486026
Albert Park,Victoria Av,-37.8435791,144.951145
Albert Park,Victoria Av,-37.8441038,144.9517782
Albert Park,Graham St,-37.8434339,144.9453989
Albert Park,Bridge St,-37.838569,144.9475452
Albert Park,Graham St,-37.8433843,144.9451389
Albert Park,Glover St,-37.8382005,144.9479347
Albert Park,Cruikshank St,-37.8403081,144.9449515
Albert Park,Cruikshank St,-37.840021,144.9450277
Albert Park,Kerferd Rd,-37.8455752,144.9545104
Albert Park,Lyell St,-37.8362214,144.9498714
Albert Park,Kerferd Rd,-37.8462838,144.9553545
Albert Park,Iffla St,-37.8358158,144.9503826
Albert Park,Liardet St,-37.8385098,144.9426038
Albert Park,Bridge St,-37.8372158,144.9438443
Albert Park,Johnston St,-37.8445998,144.94198
Albert Park,Port Melbourne Life Saving Club,-37.8447607,144.9419074
Albert Park,Liardet St,-37.8386816,144.9421218
Albert Park,Bridge St,-37.8370403,144.9435991
Albert Park,Graham St,-37.8396891,144.9415029
Albert Park,Bay St,-37.8367488,144.9434254
Albert Park,Raglan St,-37.8348343,144.9468078
Albert Park,Queen St,-37.8349703,144.9540989
Albert Park,Mills St,-37.8471859,144.9574888
Albert Park,Raglan St,-37.834804,144.9461042
Albert Park,Boundary St,-37.834012,144.9492622
Albert Park,Pickles St,-37.8339356,144.9500483
Albert Park,Mills St,-37.8475431,144.9578199
Albert Park,Coote St,-37.8345571,144.9547628
Albert Park,Nott St,-37.8397932,144.9397273
Albert Park,Bridge St,-37.8358841,144.9424154
Albert Park,Nott St,-37.8393737,144.9394436
Albert Park,Dow St,-37.8434741,144.9389317
Albert Park,Bay St,-37.8436987,144.9388913
Alfredton,Alfredton PS,-37.5538892,143.8007576
Alfredton,St Thomas More School/Cuthberts Rd,-37.5537434,143.800696
Alfredton,St Thomas More School,-37.5536194,143.7984492
Alfredton,Kallioota St,-37.5540699,143.8034321
Alfredton,Alfredton Dr,-37.5534281,143.7967146
Alfredton,Hume Cr,-37.5542733,143.8039553
Alfredton,Kallara Care,-37.5532269,143.7962705
Alfredton,Cuthberts Rd,-37.55266,143.7946426
Alfredton,Ningana Av,-37.5544923,143.8067186
Alfredton,Towong St,-37.5546126,143.806838
Alfredton,Warwick Rd,-37.5492072,143.8031986
Alfredton,Kallioota St,-37.5500825,143.8052434
Alfredton,The Avenue Motel,-37.5483884,143.8009138
Alfredton,Ballarat Golf Club,-37.5484552,143.8024136
Alfredton,Ningana St,-37.5515782,143.8085745
Alfredton,Ningana St,-37.5509192,143.8081953
Alfredton,Ashley Ct/Robertson Dr,-37.549728,143.7928445
Alfredton,Cuthberts Rd Reserve,-37.5525637,143.7904829
Alfredton,Cardigan Av,-37.5548894,143.8100742
Alfredton,Cardigan Av,-37.5549893,143.8101039
Alphington,Grange Rd,-37.7818935,145.0244515
Alphington,Grange Rd,-37.7820984,145.0243098
Alphington,Perry St,-37.7823402,145.0226115
Alphington,Wingrove St,-37.7783366,145.0251593
Alphington,Grange Rd,-37.7784012,145.0252484
Alphington,Yarraford Av,-37.7825126,145.0221413
Alphington,Fulham Rd,-37.7815989,145.0262306
Alphington,Fulham Rd,-37.7817108,145.0264548
Alphington,Mercil Rd,-37.7790267,145.0276162
Alphington,Fairfield Station,-37.7799388,145.0180656
Alphington,Fairfield Station,-37.7799717,145.0178831
Alphington,Fairfield Station,-37.7788634,145.01789
Alphington,Fairfield Station,-37.7789495,145.0176492
Alphington,Darling St,-37.7758226,145.0257144
Alphington,Duncan St,-37.7768473,145.0185796
Alphington,Lowther St,-37.7812382,145.0289086
Alphington,Arthur St,-37.7831613,145.018377
Alphington,Fairfield Community Centre/Station St,-37.7766828,145.0184167
Alphington,Station St,-37.7833552,145.018122
Alphington,Darling St,-37.7752193,145.0257418
Altona,Pier St,-37.8682636,144.8300553
Altona,Altona Station,-37.8673267,144.8300714
Altona,Altona Railway Station / Blyth Street,-37.8684469,144.8307093
Altona,Railway St North,-37.8669063,144.8307317
Altona,McBain St,-37.8679801,144.8273923
Altona,Davies St,-37.8686531,144.832613
Altona,Davies St,-37.8685291,144.8327303
Altona,McBain St,-37.8680933,144.827173
Altona,Civic Centre,-37.8644674,144.8304168
Altona,Civic Centre,-37.864371,144.8305674
Altona,Bent St,-37.8646502,144.8320255
Altona,Mount St,-37.8688835,144.8348456
Altona,Mount St,-37.8687586,144.8349175
Altona,Civic Centre,-37.864609,144.8327201
Altona,Mount St,-37.8649216,144.8345297
Altona,Mount St,-37.8648347,144.8347027
Altona,Altona PS,-37.8677326,144.8237506
Altona,David St,-37.8639462,144.8261013
Altona,Sugar Gum Dr,-37.8638919,144.8260915
Altona,Altona PS,-37.8676494,144.8231506
Armadale,Armadale Station,-37.8573086,145.0204051
Armadale,Armadale Station,-37.8572446,145.02035
