Suburb,Name,Latitude,Latitude
Abbotsford,Church St,-37.8104897,145.0005172
Abbotsford,Church St,-37.8106782,145.0008314
Abbotsford,McKay St/Victoria St,-37.8108236,145.0039382
Abbotsford,Victoria St,-37.8109322,145.0006929
Abbotsford,McKay St/Victoria St,-37.8109812,145.0043279
Abbotsford,Lennox St,-37.8101742,144.9961508
Abbotsford,Nicholson St/Victoria St,-37.8099847,144.9957872
Albert Park,Tram Stop,-37.8440091,144.9513967
Albert Park,Richardson St/Victoria Ave,-37.8439276,144.9512562
Albert Park,Richardson St,-37.843788,144.951677
Albert Park,Cardigan St/Victoria Ave,-37.8416435,144.9531589
Albert Park,Merton St/Dundas Pl,-37.8412737,144.9538186
Albert Park,Graham St/Victoria Ave,-37.8456852,144.9497892
Albert Park,Graham Street - Stop 31,-37.8457674,144.9500162
Albert Park,Montague St/Bridport St,-37.8406828,144.9554238
Albert Park,Bridport St/Montague St,-37.8404017,144.9557091
Albert Park,Beaconsfield Pde/Victoria Ave,-37.8472181,144.9486372
Albert Park,Montague St/Park St,-37.8375497,144.9542198
Albert Park,Montague Street,-37.8373121,144.9544616
Albert Park,Albert Park Station/Light Rail,-37.8401047,144.9585659
Albert Park,Albert Park Station/Light Rail (South Melbourne),-37.8403064,144.9587951
Albert Park,Ferrars St/Park St,-37.836616,144.9563762
Albert Park,Kerferd Rd/Canterbury Rd,-37.8424428,144.9593463
Albert Park,Canterbury Rd/Albert Rd,-37.8422583,144.9595346
Albert Park,Ferrars St/Park St,-37.8366781,144.9569517
Albert Park,Carter St/Mills St,-37.8456255,144.9588427
Albert Park,Richardson St/Mills St,-37.8474272,144.9573398
Albert Park,Carter St,-37.8456765,144.9591012
Albert Park,Richardson St/Mills St,-37.8472275,144.9578059
Albert Park,Canterbury Road - Stop 133,-37.844123,144.9600919
Albert Park,Canterbury Rd/Mills St,-37.8445056,144.9600487
Albert Park,Danks St/Mills St (Middle Park),-37.8493079,144.9560738
Albert Park,Aughtie Dr/Albert Rd (Albert Park),-37.8407158,144.9611132
Albert Park,Cecil St/Park St,-37.8361263,144.9585839
Armadale,Tram Depot,-37.858508,145.0274626
Armadale,Kooyong Rd/High St,-37.8555851,145.0208036
Armadale,Kooyong Rd/High St,-37.8554099,145.0205811
Armadale,Huntingtower Rd/High St (Armadale),-37.8558088,145.023688
Armadale,42-Huntingtower Rd/High St (Armadale),-37.855993,145.0238717
Armadale,Armadale Station - Stop 40,-37.8552837,145.018499
Armadale,Armadale Station - Stop 40,-37.8551081,145.0183006
Armadale,Mercer Rd/High St,-37.8561117,145.0259312
Armadale,Mercer Rd/High St,-37.856305,145.0262927
Armadale,Kooyong Rd/Wattletree Rd,-37.8611761,145.0195902
Armadale,Kooyong Rd/Wattletree Rd,-37.8613729,145.0200187
Armadale,Armadale St/Wattletree Rd,-37.8609415,145.0177959
Armadale,Egerton Rd/Wattletree Rd,-37.8615918,145.0227003
Armadale,Auburn Gr/High St,-37.8548771,145.0153775
Armadale,Egerton Rd/Wattletree Rd,-37.8617257,145.02277
Armadale,Auburn Gr/High St,-37.8546743,145.0149925
Armadale,Cantala Ave/Dandenong Rd,-37.8619041,145.017732
Armadale,Cantala Ave/Dandenong Rd,-37.862005,145.0177685
